index,name,prompt,negative_prompt,category,weight,favorite
1,H3 Safe/Female/Alternative & Nightwear/Wet-look Leggings and Longline Top,"Adult woman wearing a wet-look leggings and longline top, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
2,H3 Safe/Female/Alternative & Nightwear/Simple Bodycon Dress,"Adult woman wearing a simple bodycon dress, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
3,H3 Safe/Female/Alternative & Nightwear/Harness-detail Bodysuit,"Adult woman wearing a harness-detail bodysuit, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
4,H3 Safe/Female/Alternative & Nightwear/Mesh Panel Bodysuit,"Adult woman wearing a mesh panel bodysuit, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
5,H3 Safe/Female/Alternative & Nightwear/Latex-look Bodysuit,"Adult woman wearing a latex-look bodysuit, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
6,H3 Safe/Female/Alternative & Nightwear/Gloss PVC Skirt and Top Set,"Adult woman wearing a gloss pvc skirt and top set, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
7,H3 Safe/Female/Alternative & Nightwear/Simple Clubwear Mini Dress,"Adult woman wearing a simple clubwear mini dress, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
8,H3 Safe/Female/Alternative & Nightwear/Ribbed Bodycon Dress,"Adult woman wearing a ribbed bodycon dress, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
9,H3 Safe/Female/Alternative & Nightwear/Boudoir Robe and Slip Set,"Adult woman wearing a boudoir robe and slip set, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
10,H3 Safe/Female/Alternative & Nightwear/Silk Slip Dress,"Adult woman wearing a silk slip dress, with simplified clean garment construction, unbranded styling, stable readable shapes, and materials suitable for more reliable H3 generation.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/H3 Safe/Female/Alternative & Nightwear,1,False
