name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — head level,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; head level, chin neutral, shoulders relaxed; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0002 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — chin slightly lowered,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; chin slightly lowered, neck long; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0003 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — chin slightly raised,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; chin slightly raised, neck long; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0004 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — head rotated slightly left,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; head rotated slightly left; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0005 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — head rotated slightly right,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; head rotated slightly right; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0006 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — left shoulder slightly closer to the support plane,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; left shoulder slightly closer to the support plane; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0007 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — right shoulder slightly closer to the support plane,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; right shoulder slightly closer to the support plane; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0008 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — ribcage rotated slightly left while the pelvis remains stable,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; ribcage rotated slightly left while the pelvis remains stable; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0009 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — ribcage rotated slightly right while the pelvis remains stable,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; ribcage rotated slightly right while the pelvis remains stable; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0010 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — pelvis shifted slightly left with the spine lengthened,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; pelvis shifted slightly left with the spine lengthened; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0011 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — pelvis shifted slightly right with the spine lengthened,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; pelvis shifted slightly right with the spine lengthened; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
0012 | Pose/Lying/Side/Side-Lying — left side of the torso on the support plane — upper back gently rounded,"left side of the torso on the support plane, legs straight and stacked, left arm extended beneath the head; upper back gently rounded; clear joint alignment; distinct limb separation","supine posture, prone posture, seated posture, standing posture, torso facing straight upward, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Lying/Side,1,False
