name,description,genre,subgenre_era,mood,vocal_delivery,vocal_gender_type,instruments,production_style,bpm_tempo,song_structure,hook_style,themes,explicitness,aggression,darkness,rhyme_density,wordplay,storytelling,adlibs,song_length
Heavy Rap / Trap / Drill,"Dark heavy rap ready for a cash, cars, weapons-imagery and rivals idea.",Hip-Hop / Rap,Modern Trap / Drill,Menacing and Triumphant,Deep Aggressive Rap,Deep Male Lead,"808s, Dark Piano and Brass",Hard Modern Trap Master,142 BPM Half-Time,Rap Anthem,Chanted Crowd Hook,"Cash, Cars, Rivals and Paranoia",Explicit,Maximum Impact,Very Dark,Dense Multisyllabic,Heavy Punchlines,Scene-Based Street Fiction,Frequent Hype Ad-Libs,About 3 Minutes
Cinematic Synthwave,Neon retro-future song with a widescreen emotional rise.,Electronic,80s Neon Synthwave,Dark to Triumphant,Melodic Auto-Tuned Rap,Androgynous Lead,Analog Synthwave Rig,1980s Analog Cinema,118 BPM Driving,EDM Vocal Journey,Melodic Earworm,Neon Escape,Mostly Clean,Escalating,Dark to Triumphant,Balanced,Layered Literary,Flashback Structure,Atmospheric Vocal Textures,About 4 Minutes
Ethereal Dream Pop,Weightless modern dream pop with intimate vocals and luminous atmosphere.,Pop,Modern Dream Pop,Dreamy and Weightless,Breathy Ethereal Singing,Breathy Female Lead,Dream Guitars and Pads,Ultra-Wide Atmospheric,92 BPM Head-Nod,Pop Classic,Whispered Mantra,Romantic Longing,Clean,Soft,Balanced,Loose and Conversational,Selective Metaphor,Character Portrait,Atmospheric Vocal Textures,About 3 Minutes
Acoustic Soul Storyteller,"Organic narrative soul centered on voice, guitar, cello, and emotional detail.",R&B / Soul,70s Singer-Songwriter,Melancholic and Intimate,Intimate Storytelling Vocal,Powerful Female Lead,Acoustic Guitar and Cello,Organic Live Room,78 BPM Laid-Back,Story Ballad,Question and Payoff,Personal Healing,Mostly Clean,Controlled,Balanced,Balanced,Layered Literary,Linear Story,Sparse Accent Ad-Libs,About 4 Minutes
Industrial Dark Techno,Cold machine-driven club track with confrontational vocal fragments.,Electronic,Industrial Future,Defiant and Rebellious,Aggressive Rock Shout,Androgynous Lead,Industrial Machines,Raw Underground,128 BPM Club,EDM Vocal Journey,Dark Minimal Refrain,Paranoia,Moderate,Maximum Impact,Very Dark,Hook Simple / Verses Dense,Direct,Minimal Narrative,Callout Layers,About 3 Minutes
Epic Orchestral Last Stand,Long-form hybrid orchestral trailer cue with choir and a final heroic release.,Orchestral / Cinematic,Modern Cinematic Trailer,Eerie and Cinematic,Instrumental Performance,Instrumental / No Lead Vocal,Hybrid Orchestra and Taiko,Epic Trailer Hybrid,Tempo Evolves,Cinematic Instrumental,No Vocal Hook,Epic Last Stand,Clean,Escalating,Dark to Triumphant,Loose and Conversational,Direct,Cinematic Epic,None,About 4 Minutes
Gregorian Drill Opera / Holy 808,"Deliberately weird but production-ready sacred drill opera with monks, organ, choir, 808s, and a colossal theatrical hook.",Orchestral / Cinematic,Gregorian Drill Opera,Eerie and Cinematic,Monastic Chant and Operatic Rap,Choir and Soloist,"Pipe Organ, Cathedral Choir and Sliding 808s",Epic Trailer Hybrid,142 BPM Half-Time,Rap Anthem,Latin Chant Call and Response,Sacred Power and Fallen Kingdoms,Mostly Clean,Escalating,Dark to Triumphant,Dense Multisyllabic,Layered Literary,Cinematic Epic,Callout Layers,About 3 Minutes
CUDA Out of Memory,Industrial trap comedy for the ComfyUI crowd: a heroic GPU fighting one generation too many.,Electronic,Industrial Future,Defiant and Rebellious,Aggressive Rock Shout,Spoken / Sung Hybrid,Industrial Machines,Raw Underground,150 BPM Aggressive,Rock Escalation,Chanted Crowd Hook,GPU Meltdown,Explicit,Maximum Impact,Very Dark,Dense Multisyllabic,Heavy Punchlines,Character Portrait,Frequent Hype Ad-Libs,About 3 Minutes
What Did I Generate,A deliberately unstable genre-roulette anthem that keeps transforming while remaining one recognisable song.,Pop,Genre Roulette Mutation,Playful and Carefree,Melodic Auto-Tuned Rap,Dual Male / Female Leads,Hybrid Orchestra and Taiko,Massive Festival Master,Tempo Evolves,Progressive Long Form,Call and Response,Creative Chaos,Moderate,Escalating,Dark to Triumphant,Hook Simple / Verses Dense,Witty and Playful,Flashback Structure,Atmospheric Vocal Textures,About 4 Minutes
UK Drill Pressure,Cold sliding-bass UK drill.,Hip-Hop / Rap,UK Drill,Dark and Paranoid,Deep Aggressive Rap,Deep Male Lead,Drill Bass and Icy Bells,Cold UK Drill Mix,138 BPM Drill,Drill Direct,Chanted Crowd Hook,Rivals and Street Life,Mostly Clean,Strong,Very Dark,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
