index,name,prompt
1,Direct,Prioritize forceful direct statements and clean memorable images over complex tricks.
2,Selective Metaphor,Use a few strong metaphors and double meanings at major lyrical turns.
3,Heavy Punchlines,"Land frequent punchlines, double meanings, status flips, and quotable comparisons while preserving coherence."
4,Layered Literary,"Use extended metaphor, motif callbacks, symbolism, and subtle double meanings across sections."
5,Witty and Playful,"Use clever misdirection, humorous comparisons, nimble references, and light verbal surprise."
6,Plainspoken,Use Plainspoken as the dominant wordplay method without sacrificing the song's emotional through-line.
7,Visual Metaphor,Use Visual Metaphor as the dominant wordplay method without sacrificing the song's emotional through-line.
8,Extended Metaphor,Use Extended Metaphor as the dominant wordplay method without sacrificing the song's emotional through-line.
9,Double Entendres,Use Double Entendres as the dominant wordplay method without sacrificing the song's emotional through-line.
10,Triple Entendres,Use Triple Entendres as the dominant wordplay method without sacrificing the song's emotional through-line.
11,Battle-Rap Punchlines,Use Battle-Rap Punchlines as the dominant wordplay method without sacrificing the song's emotional through-line.
12,Story-First,Use Story-First as the dominant wordplay method without sacrificing the song's emotional through-line.
13,Surreal Imagery,Use Surreal Imagery as the dominant wordplay method without sacrificing the song's emotional through-line.
14,Comedic Bars,Use Comedic Bars as the dominant wordplay method without sacrificing the song's emotional through-line.
15,Technical References,Use Technical References as the dominant wordplay method without sacrificing the song's emotional through-line.
16,Poetic Symbolism,Use Poetic Symbolism as the dominant wordplay method without sacrificing the song's emotional through-line.
17,Minimal Lyrics,Use Minimal Lyrics as the dominant wordplay method without sacrificing the song's emotional through-line.
