name,prompt,negative_prompt,category,weight,favorite
0001 | Location | Real Haunted Places/Japan/Aokigahara Forest — Blue Hour,"Aokigahara Forest, the dense volcanic forest near Mount Fuji, exposed roots, lava-rock ground and sound-absorbing foliage; respectful atmospheric landscape, during blue hour, cool ambient light, architectural detail retained, light ground mist, respectful documentary-horror atmosphere and a carefully composed wide view, no people present, environment-first composition, highly detailed architecture and surfaces, coherent spatial layout, cinematic depth, polished colour separation, subtle volumetric atmosphere, realistic materials, professional horror production design","people as main subject, visible monster as main subject, graphic gore, inaccurate landmark replacement, modern clutter, bright cheerful mood, malformed architecture, impossible perspective, duplicated structures, warped signage, invented text, watermark, logo, low detail, blur",Location/Real Haunted Places/Japan,1.0,False
0002 | Location | Real Haunted Places/Australia/Old Melbourne Gaol — Midnight Fog,"Old Melbourne Gaol, the historic bluestone prison in central Melbourne, narrow cells, iron landings and severe Victorian masonry, after midnight, subtle fog, limited warm practical lights, deep readable shadows, historically coherent surfaces and an empty cinematic composition, no people present, environment-first composition, highly detailed architecture and surfaces, coherent spatial layout, cinematic depth, polished colour separation, subtle volumetric atmosphere, realistic materials, professional horror production design","people as main subject, visible monster as main subject, graphic gore, inaccurate landmark replacement, modern clutter, bright cheerful mood, malformed architecture, impossible perspective, duplicated structures, warped signage, invented text, watermark, logo, low detail, blur",Location/Real Haunted Places/Australia,1.0,False
0003 | Subject | People / Urban / Graffiti Muralist — Mature Man,"mature adult man, composed and experienced, graffiti muralist, paint-marked streetwear and respirator, building a large legal wall mural, clearly recognisable central human subject, accurate professional or cultural detail, natural anatomy, polished cinematic realism","child, teen, underage, generic identity, duplicate subject, broken anatomy, extra limbs, fused fingers, malformed hands, wrong profession equipment, inaccurate clothing, floating objects, unreadable action, text, watermark, low detail, blur",Subject/People / Urban,1,
0004 | Clothing | Female/Hair Styles/Loose Top Knot With Face-Framing Strands + modern western suede jacket over a fitted shirt,"loose top knot with face-framing strands, modern western suede jacket over a fitted shirt, bootcut denim and refined western boots, indigo denim with crisp white layers, natural leather accessories, realistic individual hair strands, clean hairline, coherent garment construction, believable fabric weight, refined layering, balanced accessories, polished contemporary styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Clothing/Female/Hair Styles,1.0,False
0005 | Subject | Horror / Modern / Masked Harvest Killer — Environmental,"a masked harvest killer, integrated naturally into a richly detailed haunted environment, atmospheric dread, precise material texture, coherent anatomy, polished horror concept design","cute, cheerful, generic monster, duplicate creature, broken anatomy, random costume, excessive gore, text, watermark, low detail, blur",Subject/Horror / Modern,1,
0006 | Action | Outdoor/Crossing A Stream - Efficient Finish,"stepping between rocks across shallow water, arms extended for balance, movement resolving cleanly, equipment returning under control","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Outdoor,1.0,False
0007 | Action | Creative/Mixing Paint Colours - Expressive Rhythm,"blending colours on a palette with a small tool, wrist rotating in compact circles, upper body following the creative rhythm, movement loose but intentional","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Creative,1.0,False
0008 | Character | Character/DC/Golden Glider,"Golden Glider, DC Comics, iconic fictional character, faithful canonical costume, hairstyle, colour palette, signature props and instantly readable silhouette, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/Character,1,
"0009 | Location | Mexico/Palacio De Bellas Artes, Mexico City - Bright Midday","Palacio de Bellas Artes in Mexico City, white marble facade, orange tiled dome, formal plaza, surrounding historic buildings, at bright midday, strong geometry, hard-edged shadows, vivid surfaces","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/Mexico,1.0,False
"0010 | Location | Tanzania/Stone Town, Zanzibar - Night Illumination","Stone Town in Zanzibar, carved timber doors, coral-stone facades, narrow shaded lanes, rooftop terraces, at night, carefully lit monuments, dark sky, warm pools of light","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/Tanzania,1.0,False
0011 | Character | Real Female/Athlete Tennis Golf/Leylah Fernandez,"Leylah Fernandez, Leylah Fernandez likeness reference,  Real Female/Athlete Tennis Golf, photogenic editorial portrait, recognizable face and signature public-image cues, sports editorial portrait, athletic confident posture, professional arena or training-lighting mood,  natural skin texture, accurate facial likeness, ","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, generic face, unrecognizable person, wrong person, text artifacts, watermark, logo artifacts, ",Character/Character,1,
0012 | Action | Horror/Hiding from Stalker - Efficient,"pressing into a narrow hiding place while controlling breathing, movement brisk and efficient, shoulders and elbows coordinating smoothly","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Action/Horror,1.0,False
