index,name,prompt,negative_prompt,category,weight,favorite
1,Structured Mini Dress,"H3-safe video styling: Dress <Subject 1> in structured mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
2,Structured Column Gown,"H3-safe video styling: Dress <Subject 1> in structured column gown, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
3,Draped Mini Dress,"H3-safe video styling: Dress <Subject 1> in draped mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
4,Draped Column Gown,"H3-safe video styling: Dress <Subject 1> in draped column gown, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
5,Bias-Cut Mini Dress,"H3-safe video styling: Dress <Subject 1> in bias-cut mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
6,Bias-Cut Column Gown,"H3-safe video styling: Dress <Subject 1> in bias-cut column gown, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
7,Pleated Mini Dress,"H3-safe video styling: Dress <Subject 1> in pleated mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
8,Pleated Column Gown,"H3-safe video styling: Dress <Subject 1> in pleated column gown, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
9,Corset-Seamed Mini Dress,"H3-safe video styling: Dress <Subject 1> in corset-seamed mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
10,Corset-Seamed Column Gown,"H3-safe video styling: Dress <Subject 1> in corset-seamed column gown, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
11,Sculpted Mini Dress,"H3-safe video styling: Dress <Subject 1> in sculpted mini dress, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Prefer a simple readable silhouette, secure attachment, restrained motion, and consistent placement across every frame.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Safe | Fashion,1.0,False
