name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Exact Right Profile/Exact Right Profile Camera — cinematic landscape framing, 50mm standard lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; full-figure camera distance; cinematic landscape framing; 50mm standard lens; clean negative space around the subject; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0002 | Perspective/Exact Right Profile/Exact Right Profile Camera — balanced square framing, 24mm wide-angle lens with controlled edge distortion, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; camera far enough back to preserve spatial context; balanced square framing; 24mm wide-angle lens with controlled edge distortion; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0003 | Perspective/Exact Right Profile/Exact Right Profile Camera — medium crop, 28mm moderately wide lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; environmental portrait distance; medium crop; 28mm moderately wide lens; strong leading lines toward the subject; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0004 | Perspective/Exact Right Profile/Exact Right Profile Camera — cinematic landscape framing, 35mm environmental lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; wide scene distance; cinematic landscape framing; 35mm environmental lens; rule-of-thirds composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0005 | Perspective/Exact Right Profile/Exact Right Profile Camera — waist-up crop, 24mm wide-angle lens with controlled edge distortion, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; wide scene distance; waist-up crop; 24mm wide-angle lens with controlled edge distortion; symmetrical visual balance; clean edge separation around the subject; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0006 | Perspective/Exact Right Profile/Exact Right Profile Camera — balanced square framing, 65mm short-portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; camera distance balanced between subject and environment; balanced square framing; 65mm short-portrait lens; asymmetrical cinematic balance; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0007 | Perspective/Exact Right Profile/Exact Right Profile Camera — balanced square framing, 28mm moderately wide lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; camera far enough back to preserve spatial context; balanced square framing; 28mm moderately wide lens; foreground-to-background depth layering; focus locked on the primary subject; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0008 | Perspective/Exact Right Profile/Exact Right Profile Camera — three-quarter-length crop, 105mm compressed portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; conversational camera distance; three-quarter-length crop; 105mm compressed portrait lens; environmental elements framing the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0009 | Perspective/Exact Right Profile/Exact Right Profile Camera — vertical editorial framing, 85mm portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; full-figure camera distance; vertical editorial framing; 85mm portrait lens; environmental elements framing the subject; focus locked on the primary subject; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
"0010 | Perspective/Exact Right Profile/Exact Right Profile Camera — wide environmental framing, 105mm compressed portrait lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's right side at a ninety-degree viewing angle; full-figure camera distance; wide environmental framing; 105mm compressed portrait lens; slightly off-centre editorial composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","left-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Right Profile,1,False
