index,name,prompt,negative_prompt,category,weight,favorite
1,Casual Everyday,Dress <Subject 1> in a clean casual everyday outfit with realistic fit and simple styling.,,Clothing,1,
2,Streetwear,Dress <Subject 1> in coordinated modern streetwear with clean layered styling.,,Clothing,1,
3,Athleisure,Dress <Subject 1> in stylish athleisure with a fitted sporty silhouette.,,Clothing,1,
4,Business Suit,Dress <Subject 1> in a tailored business suit with clean formal styling.,,Clothing,1,
5,Evening Dress,Dress <Subject 1> in an elegant evening dress with refined premium styling.,,Clothing,1,
6,Yoga Outfit,Dress <Subject 1> in a fitted yoga outfit designed for clean silhouette and flexible movement.,,Clothing,1,
7,Lingerie Set,Dress <Subject 1> in a coordinated lingerie set with realistic fabric detail and no logos or text.,,Clothing,1,
8,Swimwear,Dress <Subject 1> in fashionable swimwear with clean flattering styling and realistic material detail.,,Clothing,1,
9,Sci-Fi Bodysuit,Dress <Subject 1> in a sleek science-fiction bodysuit with fitted futuristic styling.,,Clothing,1,
10,Basketball Uniform,Dress <Subject 1> in a modern basketball uniform with realistic athletic styling.,,Clothing,1,
