name,prompt,negative_prompt,category,weight,favorite
0001 | Standing/Neutral Confident,"adult subject standing naturally, balanced posture, shoulders relaxed, confident direct presence","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0002 | Standing/One Hand On Hip,"adult subject standing with one hand on hip, subtle weight shift, confident fashion posture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0003 | Standing/Arms Crossed,"adult subject standing with arms crossed, grounded stance, composed confident expression","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0004 | Standing/Over Shoulder,"adult subject looking back over one shoulder, torso slightly turned, elegant natural posture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0005 | Standing/Contrapposto,"adult subject in a classical contrapposto stance, weight on one leg, relaxed graceful body line","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0006 | Standing/Hands In Pockets,"adult subject standing with hands in pockets, relaxed contemporary attitude, natural shoulders","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0007 | Standing/Against Wall,"adult subject leaning lightly against a wall, one knee relaxed, casual cinematic posture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0008 | Standing/Mid Turn,"adult subject captured mid-turn, subtle motion in clothing and hair, dynamic but controlled pose","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Standing,1.0,False
0009 | Walking/Toward Camera,"adult subject walking toward camera, confident stride, natural arm movement, editorial energy","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Walking,1.0,False
0010 | Walking/Away Looking Back,"adult subject walking away while looking back, natural stride, elegant shoulder turn","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Walking,1.0,False
0011 | Walking/Side Profile,"adult subject walking in side profile, clean stride silhouette, candid editorial movement","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Walking,1.0,False
0012 | Sitting/Chair Upright,"adult subject sitting upright on a chair, poised posture, feet placed naturally, composed expression","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0013 | Sitting/Chair Relaxed,"adult subject sitting casually in a chair, relaxed shoulders, natural asymmetric posture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0014 | Sitting/Edge Of Chair,"adult subject sitting on the edge of a chair, leaning slightly forward, attentive confident energy","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0015 | Sitting/Backward Chair,"adult subject seated backward on a chair, arms resting on chair back, confident editorial posture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0016 | Sitting/Crossed Legs,"adult subject seated with legs crossed elegantly, upright posture, relaxed hands","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0017 | Sitting/Floor Cross-Legged,"adult subject seated cross-legged on the floor, relaxed spine, comfortable candid pose","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0018 | Sitting/Floor One Knee Raised,"adult subject seated on floor with one knee raised, one arm resting naturally, cinematic pose","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0019 | Sitting/Steps,"adult subject seated on steps, varied leg levels, relaxed urban editorial pose","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
0020 | Sitting/Window Ledge,"adult subject seated on a window ledge, side light, reflective relaxed posture","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, stiff pose, broken limbs, impossible joints",Sitting,1.0,False
