name,prompt,negative_prompt,category,weight,favorite
0000 | No Style,,,General,1,
0001 | Painting / Fine Art/Painting,"A richly layered illustration style built on confident brushwork that constructs form through visible, considered strokes rather than flat mechanical fill, blended tonal transition achieved through layered pigment application, a tactile, hand-crafted texture that preserves the character of the medium even within refined rendering, deliberate value and contrast control that gives form convincing dimensional weight, and a timeless, painterly sincerity rooted in foundational fine-art tradition. Influenced by: traditional oil-painting tradition, classical atelier technique, painterly fine-art practice, foundational tonal-rendering method.",,Painting / Fine Art,1,
0002 | Painting / Fine Art/Abstract Expressionism,"A raw, gestural painting style built on sweeping, spontaneous brushwork that prioritizes emotional intensity over representational accuracy, bold physical mark-making where the visible energy of the stroke becomes the subject itself, dramatic tonal contrast and dense layered texture built through accumulated, unrestrained applications of paint, a chaotic yet deliberate compositional freedom that resists conventional structure, and a raw, cathartic painterly intensity that channels pure emotional immediacy over polished technique. Influenced by: Jackson Pollock, Willem de Kooning, action painting technique, mid-century American painting movement.",,Painting / Fine Art,1,
0003 | Painting / Fine Art/Academic Precision Realism,"A meticulously rendered academic-realist illustration style built on immaculate, glass-smooth surface finish achieved through countless thin layered glazes rather than visible brushwork, dramatic architectural lighting that rakes across richly detailed ornamental surface and fabric with near-photographic exactness, a controlled, studio-disciplined precision in every fold, texture, and reflective highlight, a hushed, contemplative grandeur carried through carefully staged compositional balance, and a polished, old-world craftsmanship that treats technical mastery itself as the subject. Influenced by: William-Adolphe Bouguereau, academic realism painting tradition, oil-glazing technique, classical atelier training method.",,Painting / Fine Art,1,
0004 | Painting / Fine Art/Acrylic Dreamscape,"expressive painterly rendering with layered acrylic textures, blended edges, atmospheric transitions, rich surface variation, handcrafted brushwork, contemporary fine art sensibilities, dreamlike visual rhythm, softly abstracted realism, tactile material presence, luminous depth, gallery-quality execution, reminiscent of Gerhard Richter and Jeremy Mann, inspired by Abstract Painting and Contemporary Fine Art Exhibitions.",,Painting / Fine Art,1,
0005 | Painting / Fine Art/Adventure Illustration,"dynamic narrative artwork emphasizing strong visual storytelling, confident draftsmanship, expressive action, atmospheric depth, adventurous mood, detailed craftsmanship, readable composition, classic illustration traditions, polished rendering, and timeless sense of exploration, reminiscent of N.C. Wyeth and Howard Pyle, inspired by Treasure Island and The Adventures of Robin Hood.",,Painting / Fine Art,1,
0006 | Painting / Fine Art/Agnes Cecile Style,"A delicately dissolving watercolor illustration style built on translucent washes that bleed and diffuse outward from a sharply rendered focal point, a deliberate contrast between crisp, precise detail at the center and loose, dripping fluidity toward the edges, ethereal fragmented form that seems to be dissolving into or emerging from pure pigment, a hushed, melancholic tenderness carried through soft tonal gradation, and a poetic, emotionally raw fragility that treats controlled dissolution as the compositional heart of the piece. Influenced by: Agnes Cecile, watercolor-and-ink illustration technique, contemporary fine-art dissolution practice, expressive wet-media portraiture method.",,Painting / Fine Art,1,
0007 | Painting / Fine Art/Airbrush Fantasy,"highly polished fantasy illustration featuring exceptionally smooth gradients, refined atmospheric rendering, soft transitions, luminous depth, meticulous surface treatment, commercial illustration sensibilities, elegant visual flow, and a perfected painterly finish that emphasizes clarity and visual appeal, reminiscent of Boris Vallejo and Chris Achilleos, inspired by Heavy Metal Magazine and classic fantasy paperback cover art.",,Painting / Fine Art,1,
0008 | Painting / Fine Art/Van Gogh Style,"An intensely expressive painting style built on thick, visible impasto brushstrokes applied with rhythmic, almost vibrating directional energy, dense, swirling mark-making that gives even still forms a sense of restless movement, confident, emotionally charged tonal contrast built through accumulated layered strokes rather than smooth blending, a raw, unrestrained painterly intensity where the physical gesture of the brush becomes inseparable from the emotion depicted, and a passionate, deeply personal painterly urgency rooted in late-19th-century post-impressionist rebellion. Influenced by: Vincent van Gogh, post-impressionist painting tradition, impasto brushwork technique, expressive plein-air painting practice.",,Painting / Fine Art,1,
0009 | Painting / Fine Art/Monet Style,"A luminous, atmospheric painting style built on loose, broken brushstrokes that dissolve precise form in favor of captured light and momentary sensation, delicate layered dabs of pigment that blend optically at a distance rather than through physical mixing, a soft, hazy compositional atmosphere that prioritizes fleeting impression over structural clarity, an unhurried, contemplative rhythm carried through repeated, patient mark-making, and a tranquil, light-drenched painterly sincerity rooted in plein-air impressionist observation. Influenced by: Claude Monet, French impressionist painting tradition, plein-air painting technique, broken-color brushwork practice.",,Painting / Fine Art,1,
0010 | Painting / Fine Art/Wet-on-Wet Watercolor Ink Painting,"A fluid, unpredictable painting style built on pigment applied directly into an already-saturated wet layer, allowing color and tone to bloom, bleed, and diffuse with organic unpredictability rather than controlled placement, soft, feathered edges replacing any crisp boundary as washes merge and blend spontaneously, a delicate, translucent layering that builds depth through repeated wet passes rather than opaque coverage, an unhurried, meditative looseness carried through the medium's inherent unpredictability, and a poetic, ephemeral fluidity that captures the beauty of controlled chance. Influenced by: traditional wet-on-wet watercolor technique, ink-wash painting tradition, expressive fluid-media practice, spontaneous wash-blending method.",,Painting / Fine Art,1,
0011 | Painting / Fine Art/Alphonse Mucha Masterwork,"elegant decorative illustration characterized by flowing organic linework, intricate ornamental detailing, harmonious visual rhythms, refined craftsmanship, graceful contours, and highly polished surface treatment, blending fine art sophistication with graphic clarity and a strong sense of decorative unity, reminiscent of Alphonse Mucha and Gustav Klimt, inspired by Job Cigarettes Poster and The Slav Epic.",,Painting / Fine Art,1,
0012 | Painting / Fine Art/Anato Finnstark Style,"An epic, luminous fantasy-portrait style built on sweeping atmospheric glow that radiates outward from a central focal point, richly layered painterly brushwork dissolving into soft luminous haze at the periphery, dramatic scale conveyed through radiant backlight that illuminates simultaneously, meticulous attention to soft motion caught within the glow, and a breathtaking, cinematic grandeur that feels both intimate and monumentally epic. Influenced by: Anato Finnstark, painterly fantasy-illustration technique, luminous atmospheric concept-art practice, cinematic key-art lighting method.",,Painting / Fine Art,1,
0013 | Painting / Fine Art/Rembrandt Painting,"A masterfully controlled classical painting style built on single-source directional light carving a small, dignified highlight against an otherwise deeply shadowed composition, rich, warm chiaroscuro tonal harmony bathing every plane in umber and near-black depth, thick, confident impasto brushwork in the illuminated passages contrasted against thinly glazed shadow, a quiet, contemplative gravitas carried through restrained, dignified composition, and an old-master intensity rooted in centuries of masterful oil-painting tradition. Influenced by: Rembrandt van Rijn, Dutch Golden Age painting tradition, chiaroscuro oil-painting technique, classical impasto-and-glazing method.",,Painting / Fine Art,1,
0014 | Painting / Fine Art/Art Deco Gold Highlights,"An elegant geometric-illustration style built on crisp, confidently bounded shape divisions arranged with rhythmic, symmetrical precision, sharp radiant linework tracing sunburst and stepped-motif patterning with meticulous graphic discipline, a luminous, reflective sheen concentrated along every decorative edge and contour, a poised, glamorous formality carried through balanced, deliberate composition, and a chic, opulent sophistication that feels streamlined, luxurious, and unmistakably interwar in spirit. Influenced by: Tamara de Lempicka, Art Deco decorative-design tradition, geometric ornamental-illustration technique.",,Painting / Fine Art,1,
0015 | Painting / Fine Art/Ashley Wood Illustration,"expressive mixed-media aesthetics combining energetic brushwork, sketch-like spontaneity, painterly abstraction, layered textures, and graphic novel sensibilities, blending raw artistic gesture with sophisticated visual design through atmospheric rendering, controlled chaos, and a distinctly handcrafted appearance that prioritizes mood, emotion, and visual impact over strict realism, reminiscent of Ashley Wood and Bill Sienkiewicz, inspired by World War Robot and Metal Gear Solid concept artwork.",,Painting / Fine Art,1,
0016 | Painting / Fine Art/Tenebrism,"A dramatically shadowed painting style built on an extreme, exaggerated contrast between deep, engulfing darkness and a single sharp pool of illumination, form emerging abruptly from near-total shadow rather than through gradual tonal transition, meticulous, controlled brushwork concentrated entirely within the illuminated passages while shadow remains deliberately unresolved, a theatrical, almost violent immediacy carried through the stark light-dark confrontation, and a haunting, intensely focused gravitas rooted in the most extreme tradition of chiaroscuro painting. Influenced by: Caravaggio, tenebrist painting tradition, Baroque chiaroscuro technique, dramatic single-source oil-painting method.",,Painting / Fine Art,1,
0017 | Painting / Fine Art/Chiaroscuro,"A dramatically balanced painting style built on strong contrast between illuminated and shadowed passages that sculpts form with three-dimensional conviction, a single dominant light source establishing clear hierarchy between what is revealed and what recedes into darkness, meticulous, gradual tonal transition bridging highlight and shadow rather than abrupt separation, a controlled, deliberate modeling that gives every plane convincing volumetric weight, and a masterful, timeless painterly gravitas rooted in centuries of classical oil-painting tradition. Influenced by: Caravaggio, Rembrandt van Rijn, Baroque tonal-painting technique, classical chiaroscuro method.",,Painting / Fine Art,1,
0018 | Painting / Fine Art/Bill Sienkiewicz Expressionism,"highly experimental illustration aesthetics combining expressive brushwork, mixed-media textures, abstract visual fragmentation, painterly distortion, emotional intensity, and unconventional storytelling techniques, blending fine art sensibilities with graphic narrative through bold mark-making, layered surfaces, and a fearless approach to visual interpretation, reminiscent of Bill Sienkiewicz and Ralph Steadman, inspired by Elektra: Assassin and Stray Toasters.",,Painting / Fine Art,1,
0019 | Painting / Fine Art/Graffiti Painting,"A bold, kinetic street-art illustration style built on dynamic, exaggerated linework with dripping, spray-textured edges that carry raw improvisational energy, confident layered tagging and lettering integrated directly into the composition as rhythmic graphic accents, a rough, unpolished texture that embraces overspray and imperfection as part of its character, aggressive diagonal composition charged with urgent, rebellious momentum, and a raw, unapologetic street-culture intensity that feels loud, immediate, and defiantly handmade. Influenced by: Jean-Michel Basquiat, spray-paint stencil technique, New York subway graffiti tradition, street-art muralism.",,Painting / Fine Art,1,
0020 | Painting / Fine Art/Boris Vallejo Style,"A hyper-idealized fantasy painting style built on smooth, airbrushed skin rendering that gives powerfully sculpted anatomy a glossy, almost polished-marble finish, dramatic directional lighting wrapping muscular, statuesque forms in warm heroic glow, meticulously blended tonal transitions that eliminate visible brushwork in favor of glassy precision, confident heroic posing charged with theatrical grandeur, and a bold, glossy, larger-than-life painterly radiance. Influenced by: Boris Vallejo, airbrush fantasy painting technique, heroic fantasy illustration, classical figure painting.",,Painting / Fine Art,1,
0021 | Painting / Fine Art/Brushwork Emphasis,"painterly aesthetics centered on expressive brush handling, visible mark-making, sophisticated texture variation, dynamic surface energy, and handcrafted visual character, prioritizing artistic gesture and material presence over perfectly smooth rendering while maintaining strong structural cohesion, visual depth, and refined craftsmanship throughout the image, reminiscent of John Singer Sargent and Joaquín Sorolla, inspired by Carnation, Lily, Lily, Rose and Walk on the Beach.",,Painting / Fine Art,1,
0022 | Painting / Fine Art/Pin-Up,"A charming, playful glamour-illustration style built on smooth, confident linework tracing idealized, curve-forward proportion with cheerful vitality, soft, evenly blended shading giving skin a flattering, luminous glow, a flirtatious, lighthearted posing sensibility charged with cheeky confidence, meticulous attention to graceful gesture and inviting expression, and a nostalgic, wholesome glamour charm that feels playful, warm, and effortlessly appealing. Influenced by: Gil Elvgren, Alberto Vargas, classic American pin-up illustration tradition, mid-century airbrush glamour technique.",,Painting / Fine Art,1,
0023 | Painting / Fine Art/2020s Pin-Up,"A polished, contemporary glamour-illustration style built on smooth digital rendering that blends idealized, curve-forward proportion with a cleaner, high-production finish than its mid-century roots, richly airbrushed shading giving skin a flawless, luminous glow, a confident, self-assured posing sensibility balancing playful charm with modern empowerment, meticulous attention to crisp, contemporary silhouette and expression, and a vibrant, current glamour-illustration polish that feels playful, confident, and unmistakably of-the-moment. Influenced by: contemporary digital pin-up illustration tradition, semi-realistic airbrush-rendering technique, modern glamour-illustration practice, digital-painting portrait method.",,Painting / Fine Art,1,
0024 | Painting / Fine Art/Hyperrealism,"A meticulously rendered painting style built on obsessive photographic precision that reproduces every subtle tonal shift and textural nuance with painstaking accuracy, dramatic, controlled lighting establishing convincing sculptural dimensionality throughout, countless layered passes building convincing depth and translucency beneath the outermost extent, a disciplined, patient rendering approach that prioritizes photographic conviction over visible brushwork, and a technically virtuosic intensity that treats absolute fidelity itself as the compositional achievement. Influenced by: Chuck Close, hyperrealist oil-painting tradition, photorealism painting technique, contemporary hyperreal-portraiture practice.",,Painting / Fine Art,1,
0025 | Painting / Fine Art/Ultrarealism,"A meticulously rendered painting style built on hyper-precise attention to minute detail that surpasses ordinary photographic fidelity, dramatic, controlled lighting establishing an almost tangible dimensionality throughout the composition, obsessive layering that builds convincing depth, translucency, and subtle tonal variation, a disciplined, painstaking rendering approach that treats absolute technical mastery as the primary goal, and an uncanny, almost hyper-vivid intensity that pushes representational accuracy beyond what unaided vision typically perceives. Influenced by: hyperrealist and ultrarealist oil-painting tradition, contemporary photorealism technique, meticulous layered-glazing practice, technically obsessive figurative-painting method.",,Painting / Fine Art,1,
0026 | Painting / Fine Art/Casey Baugh Style,"A richly painterly portrait style built on bold, confident brushwork that constructs form through visible, decisive strokes rather than smooth blending, dramatic tonal contrast carving powerful dimensionality across every plane, a loose, expressive looseness at the edges contrasted against tightly resolved focal areas, an emotionally charged, contemplative stillness carried through restrained, moody atmosphere, and a technically masterful, contemporary painterly gravitas that feels both classically grounded and boldly modern. Influenced by: Casey Baugh, contemporary painterly-portrait tradition, alla prima oil-painting technique, classical-contemporary portrait practice.",,Painting / Fine Art,1,
0027 | Painting / Fine Art/Commercial Illustration,"polished professional illustration aesthetics characterized by exceptional visual clarity, refined draftsmanship, sophisticated rendering, strong communication value, and broad audience appeal, emphasizing readability, craftsmanship, and conceptual effectiveness through balanced composition, controlled detail hierarchy, premium surface treatment, and production-ready execution, reminiscent of J.C. Leyendecker and Norman Rockwell, inspired by The Saturday Evening Post and American Illustrators Gallery exhibitions.",,Painting / Fine Art,1,
0028 | Painting / Fine Art/Giallo Poster Art,"A stylized, high-tension illustration style built on stark, high-contrast graphic composition anchored by a dramatic central figure isolated against bold negative space, illustrative airbrushed rendering charged with lurid, theatrical menace, sharp, angular shadow shapes suggesting concealed threat just beyond the frame, a deliberate tension between glamorous surface polish and gruesome implication lurking beneath, and a stylish, pulpy suspense-cinema intensity built for maximum lurid impact on a theater marquee. Influenced by: Italian giallo film-poster tradition, airbrush illustration technique, pulp-thriller poster design, 1970s European genre-cinema graphic practice.",,Painting / Fine Art,1,
0029 | Painting / Fine Art/Grindhouse Poster Illustration,"A lurid, exploitation-cinema illustration style built on bold, high-saturation graphic composition anchored by a dramatic, central figure, painterly airbrushed rendering charged with sensationalist, over-the-top intensity, sharp, angular shadow shapes suggesting danger and spectacle in equal measure, a deliberate tension between garish showmanship and gritty pulp menace, and a brash, unapologetically sleazy theatrical energy built for maximum newsstand shock value. Influenced by: 1970s grindhouse film-poster tradition, exploitation-cinema illustration technique, pulp-thriller poster design, airbrush cinematic-poster practice.",,Painting / Fine Art,1,
0030 | Painting / Fine Art/Cubism,"A fragmented, multi-perspective painting style built on form broken into overlapping angular facets viewed from several vantage points simultaneously, a flattened, deconstructed sense of depth that rejects single-viewpoint realism entirely, confident geometric simplification reducing figure and space alike into intersecting planar shards, a rigorous, analytical restructuring that prioritizes conceptual seeing over optical accuracy, and a bold, intellectually radical visual rhythm rooted in early-20th-century avant-garde rebellion. Influenced by: Pablo Picasso, Georges Braque, Analytic Cubism tradition, early-20th-century avant-garde painting movement.",,Painting / Fine Art,1,
0031 | Painting / Fine Art/Carne Griffiths Style,"A delicately fluid mixed-media illustration style built on flowing, ink-and-wash linework that bleeds and drips with organic unpredictability, translucent layered washes that let forms dissolve into loose atmospheric bloom at the edges, fine calligraphic detail threading through the figure like living linework, a hushed, ethereal fragility carried through delicate transparency, and a poetic, painterly looseness where control and chance blend into something dreamlike and organic. Influenced by: Carne Griffiths, ink and tea-wash illustration technique, mixed-media fine art, botanical linework technique.",,Painting / Fine Art,1,
0032 | Painting / Fine Art/Jackson Pollock Style,"A raw, gestural painting style built on sweeping, spontaneous drips and flung strokes that prioritize emotional intensity over representational accuracy, bold physical mark-making where the visible energy of the trajectory becomes the subject itself, dense, layered tangles built through accumulated, unrestrained passes across the entire composition, a chaotic yet deliberate compositional freedom that resists any conventional structure, and a raw, cathartic painterly intensity that channels pure emotional immediacy over polished technique. Influenced by: Jackson Pollock, action-painting technique, drip-painting tradition, mid-century American Abstract Expressionist movement.",,Painting / Fine Art,1,
0033 | Painting / Fine Art/Watercolor Painting,"A fluid, translucent painting style built on delicate layered washes that build depth through repeated transparent passes rather than opaque coverage, soft, feathered edges where pigment bleeds and diffuses with organic unpredictability, a luminous quality achieved by letting light pass through thin pigment layers, an unhurried, patient looseness carried through the medium's inherent fluidity, and a poetic, gentle sincerity that captures spontaneity within controlled technical discipline. Influenced by: traditional watercolor-painting tradition, wet-on-wet washing technique, plein-air watercolor practice, classical wash-and-glaze method.",,Painting / Fine Art,1,
0034 | Painting / Fine Art/Contemporary Oil Painting,"A richly layered painting style built on confident, visible brushwork that constructs form through deliberate, physically present strokes, meticulous blended tonal transition achieved through wet-on-wet and glazing technique in equal measure, a tactile, hand-crafted depth that preserves brush character even within refined passages, deliberate value and contrast control giving every form convincing dimensional weight, and a timeless yet unmistakably current painterly sincerity that bridges classical technique with a contemporary rendering sensibility. Influenced by: contemporary figurative-oil-painting tradition, classical atelier technique, alla prima painting practice, modern gallery-oil-painting method.",,Painting / Fine Art,1,
0035 | Painting / Fine Art/Pop Art,"A bold, graphic illustration style built on flat, punchy color fields separated by crisp confident outline, mechanically repeated dot or halftone patterning standing in for naturalistic shading, a deliberately mass-produced, commercial-print aesthetic replacing painterly nuance with graphic clarity, exaggerated expressive framing that borrows from advertising and comic-panel drama, and a bold, ironic, instantly recognizable commercial-culture punch. Influenced by: Roy Lichtenstein, Andy Warhol, Ben-Day dot printing technique, mid-century advertising illustration.",,Painting / Fine Art,1,
