index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Underwear & Lingerie/Bra/Balconette Bra,"Adult woman wearing a balconette bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
2,Female/Underwear & Lingerie/Bra/Demi Bra,"Adult woman wearing a demi bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
3,Female/Underwear & Lingerie/Bra/Push-up Bra,"Adult woman wearing a push-up bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
4,Female/Underwear & Lingerie/Bra/Triangle Bra,"Adult woman wearing a triangle bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
5,Female/Underwear & Lingerie/Bra/Plunge Bra,"Adult woman wearing a plunge bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
6,Female/Underwear & Lingerie/Bra/Full-cup Bra,"Adult woman wearing a full-cup bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
7,Female/Underwear & Lingerie/Bra/Soft-cup Bra,"Adult woman wearing a soft-cup bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
8,Female/Underwear & Lingerie/Bra/Bralette,"Adult woman wearing a bralette, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
9,Female/Underwear & Lingerie/Bra/Longline Bra,"Adult woman wearing a longline bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
10,Female/Underwear & Lingerie/Bra/T-shirt Bra,"Adult woman wearing a t-shirt bra, with clean premium styling, realistic fabric behaviour, precise stitching, and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Bra,1,False
