index,name,prompt,negative_prompt,category,weight,favorite
1,Male/Underwear/Boxer Briefs,"Adult man wearing boxer briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
2,Male/Underwear/Briefs,"Adult man wearing briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
3,Male/Underwear/Trunks,"Adult man wearing trunks, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
4,Male/Underwear/Boxers,"Adult man wearing boxers, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
5,Male/Underwear/Hip Briefs,"Adult man wearing hip briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
6,Male/Underwear/Low-rise Briefs,"Adult man wearing low-rise briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
7,Male/Underwear/Sport Briefs,"Adult man wearing sport briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
8,Male/Underwear/Compression Shorts,"Adult man wearing compression shorts, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
9,Male/Underwear/Long-leg Boxer Briefs,"Adult man wearing long-leg boxer briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
10,Male/Underwear/Seamless Trunks,"Adult man wearing seamless trunks, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
11,Male/Underwear/Modal Boxer Briefs,"Adult man wearing modal boxer briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
12,Male/Underwear/Cotton Briefs,"Adult man wearing cotton briefs, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
13,Male/Underwear/Ribbed Tank and Boxers Set,"Adult man wearing ribbed tank and boxers set, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
14,Male/Underwear/Lounge Shorts Set,"Adult man wearing lounge shorts set, with clean unbranded styling, realistic fabric behaviour, clear seam detail, and a natural flattering fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Male/Underwear,1,False
