index,name,prompt,negative_prompt,category,weight,favorite
1,Black To Silver Ombre,"Color <Subject 1>'s hair black to silver ombre; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
2,Brown To Caramel Ombre,"Color <Subject 1>'s hair brown to caramel ombre; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
3,Auburn To Copper Ombre,"Color <Subject 1>'s hair auburn to copper ombre; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
4,Blonde To Pastel Pink Ombre,"Color <Subject 1>'s hair blonde to pastel pink ombre; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
5,Purple To Blue Ombre,"Color <Subject 1>'s hair purple to blue ombre; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
6,Teal To Green Ombre,"Color <Subject 1>'s hair teal to green ombre; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
7,Sun-Kissed Balayage,"Color <Subject 1>'s hair sun-kissed balayage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
8,Caramel Balayage,"Color <Subject 1>'s hair caramel balayage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
9,Honey Balayage,"Color <Subject 1>'s hair honey balayage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
10,Ash-Blonde Balayage,"Color <Subject 1>'s hair ash-blonde balayage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
11,Copper Balayage,"Color <Subject 1>'s hair copper balayage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
12,Rose-Gold Balayage,"Color <Subject 1>'s hair rose-gold balayage; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
13,Fine Blonde Highlights,"Color <Subject 1>'s hair fine blonde highlights; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
14,Chunky Blonde Highlights,"Color <Subject 1>'s hair chunky blonde highlights; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
15,Face-Framing Highlights,"Color <Subject 1>'s hair face-framing highlights; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
16,Ribbon Highlights,"Color <Subject 1>'s hair ribbon highlights; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
17,Peekaboo Highlights,"Color <Subject 1>'s hair peekaboo highlights; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
18,Underlayer Highlights,"Color <Subject 1>'s hair underlayer highlights; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
19,Black and White Split-Dye,"Color <Subject 1>'s hair black and white split-dye; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
20,Black and Red Split-Dye,"Color <Subject 1>'s hair black and red split-dye; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
21,Pink and Blue Split-Dye,"Color <Subject 1>'s hair pink and blue split-dye; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
22,Purple and Green Split-Dye,"Color <Subject 1>'s hair purple and green split-dye; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
23,Silver and Black Split-Dye,"Color <Subject 1>'s hair silver and black split-dye; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
24,Blonde Money-Piece,"Color <Subject 1>'s hair blonde money-piece; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
25,Caramel Money-Piece,"Color <Subject 1>'s hair caramel money-piece; keep hue placement, roots, highlights, and tonal transitions consistent across the full hairstyle and every frame.","low quality, blurry, changing hairstyle, changing hair length, changing hair color, floating hair, fused braids, broken hairline, duplicated bun, unstable parting, face occlusion, text, watermark",Hair Colors | Ombre Balayage Highlights Split Dye Money Piece,1.0,False
