index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Accessories/Jewelry/Hoop Earrings,"Add hoop earrings as a coordinated accessory, keeping them elegant, unbranded, and visually clear.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Jewelry,1,False
2,Female/Accessories/Jewelry/Stud Earrings,"Add stud earrings as a subtle coordinated accessory, keeping them elegant, unbranded, and visually clear.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Jewelry,1,False
3,Female/Accessories/Jewelry/Layered Necklace,"Add a layered necklace as a coordinated accessory, keeping it elegant, unbranded, and readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Jewelry,1,False
4,Female/Accessories/Jewelry/Choker Necklace,"Add a choker necklace as a coordinated accessory, keeping it elegant, unbranded, and readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Jewelry,1,False
5,Female/Accessories/Jewelry/Bracelet Stack,"Add a bracelet stack as a coordinated accessory, keeping it elegant, unbranded, and readable.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Jewelry,1,False
6,Female/Accessories/Footwear/Heels,"Use heels as the footwear choice, with clean fashionable styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Footwear,1,False
7,Female/Accessories/Footwear/Sandals,"Use sandals as the footwear choice, with clean fashionable styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Footwear,1,False
8,Female/Accessories/Footwear/Sneakers,"Use sneakers as the footwear choice, with clean fashionable styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Footwear,1,False
9,Female/Accessories/Footwear/Boots,"Use boots as the footwear choice, with clean fashionable styling and no visible logos.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Footwear,1,False
10,Female/Accessories/Legwear/Garter Belt,"Add a garter belt as a coordinated accessory, keeping it fashionable, unbranded, and realistically constructed.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Legwear,1,False
11,Female/Accessories/Legwear/Thigh-high Stockings,"Add thigh-high stockings as a coordinated accessory, keeping them fashionable, unbranded, and realistically constructed.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Legwear,1,False
12,Female/Accessories/Cover-up/Satin Robe,"Add a satin robe as a coordinated styling layer, keeping it elegant, unbranded, and realistically draped.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Cover-up,1,False
13,Female/Accessories/Cover-up/Beach Cover-up Dress,"Add a beach cover-up dress as a coordinated styling layer, keeping it fashionable, unbranded, and realistically draped.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Accessories/Female/Cover-up,1,False
