name,prompt,negative_prompt,category,weight,favorite
0001 | Female/UK & US Culture/London Trench Tailoring - Camel and black,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, camel, black and warm ivory palette, polished leather accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0002 | Female/UK & US Culture/London Trench Tailoring - Navy and cream,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, navy, cream and soft grey palette, restrained silver hardware, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0003 | Female/UK & US Culture/London Trench Tailoring - Burgundy accent,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, charcoal base with a deep burgundy accent, refined tonal accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0004 | Female/UK & US Culture/London Trench Tailoring - Olive and tan,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, olive, tan and dark brown palette, practical textured materials, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0005 | Female/UK & US Culture/London Trench Tailoring - Soft grey tonal,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, layered soft greys with white accents, clean minimal hardware, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0006 | Female/UK & US Culture/London Trench Tailoring - Denim and white,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, indigo denim with crisp white layers, natural leather accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0007 | Female/UK & US Culture/London Trench Tailoring - Chocolate and ivory,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, chocolate brown and ivory palette, warm brushed-metal details, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0008 | Female/UK & US Culture/London Trench Tailoring - Green and black,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, deep green with black foundations, sleek understated accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0009 | Female/UK & US Culture/London Trench Tailoring - Powder blue accent,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, neutral tailoring with a powder-blue accent, light polished details, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
0010 | Female/UK & US Culture/London Trench Tailoring - Rust and ecru,"structured trench coat over a fine-knit top, straight tailored trousers, leather loafers and a compact shoulder bag, warm rust, ecru and faded brown palette, tactile woven accessories, authentic fabric texture, precise seams and fasteners, natural drape, coordinated footwear, believable accessories, clean silhouette, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Female/UK & US Culture,1.0,False
