index,name,prompt,negative_prompt,category,weight,favorite
1,Ankle Boots,"Dress <Subject 1> in ankle boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
2,Chelsea Boots,"Dress <Subject 1> in chelsea boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
3,Lace-Up Boots,"Dress <Subject 1> in lace-up boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
4,Knee-High Boots,"Dress <Subject 1> in knee-high boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
5,Thigh-High Boots,"Dress <Subject 1> in thigh-high boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
6,Riding Boots,"Dress <Subject 1> in riding boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
7,Slouch Boots,"Dress <Subject 1> in slouch boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
8,Platform Boots,"Dress <Subject 1> in platform boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
9,Combat Boots,"Dress <Subject 1> in combat boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
10,Moto Boots,"Dress <Subject 1> in moto boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
11,Sock Boots,"Dress <Subject 1> in sock boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
12,Western Boots,"Dress <Subject 1> in western boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Boots,1.0,False
