name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Low Left Angle/Low Left Camera — wide environmental framing, 28mm moderately wide lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; camera close enough to retain material texture; wide environmental framing; 28mm moderately wide lens; symmetrical visual balance; deep focus across the visible environment; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0002 | Perspective/Low Left Angle/Low Left Camera — wide environmental framing, 85mm portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; close camera distance; wide environmental framing; 85mm portrait lens; minimal uncluttered composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0003 | Perspective/Low Left Angle/Low Left Camera — waist-up crop, 70mm short-telephoto lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; camera far enough back to preserve spatial context; waist-up crop; 70mm short-telephoto lens; strong leading lines toward the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0004 | Perspective/Low Left Angle/Low Left Camera — wide environmental framing, 35mm environmental lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; camera close enough to retain material texture; wide environmental framing; 35mm environmental lens; rule-of-thirds composition; deep focus across the visible environment; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0005 | Perspective/Low Left Angle/Low Left Camera — head-and-shoulders crop, 24mm wide-angle lens with controlled edge distortion, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; full-figure camera distance; head-and-shoulders crop; 24mm wide-angle lens with controlled edge distortion; strong leading lines toward the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0006 | Perspective/Low Left Angle/Low Left Camera — cinematic landscape framing, 105mm compressed portrait lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; environmental portrait distance; cinematic landscape framing; 105mm compressed portrait lens; centred composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0007 | Perspective/Low Left Angle/Low Left Camera — vertical editorial framing, 50mm standard lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; full-figure camera distance; vertical editorial framing; 50mm standard lens; symmetrical visual balance; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0008 | Perspective/Low Left Angle/Low Left Camera — balanced square framing, 24mm wide-angle lens with controlled edge distortion, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; environmental portrait distance; balanced square framing; 24mm wide-angle lens with controlled edge distortion; strong leading lines toward the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0009 | Perspective/Low Left Angle/Low Left Camera — head-and-shoulders crop, 40mm natural-perspective lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; moderate camera distance; head-and-shoulders crop; 40mm natural-perspective lens; symmetrical visual balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
"0010 | Perspective/Low Left Angle/Low Left Camera — vertical editorial framing, 70mm short-telephoto lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's left, angled upward from an oblique side view; intimate portrait distance; vertical editorial framing; 70mm short-telephoto lens; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry","high left angle, low right angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Left Angle,1,False
