index,name,prompt,negative_prompt,category,weight,favorite
1,Black Matte,"Use black matte as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
2,Black Satin,"Use black satin as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
3,Black Gloss,"Use black gloss as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
4,Black High-Shine,"Use black high-shine as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
5,Black Soft-Focus,"Use black soft-focus as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
6,Black Metallic,"Use black metallic as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
7,Black Iridescent,"Use black iridescent as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
8,Black Pearlescent,"Use black pearlescent as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
9,Black Duochrome,"Use black duochrome as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
10,Black Wet-Look,"Use black wet-look as the selected fashion color, preserving the same hue, saturation, undertone, and material response under changing light.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Colors | Color and Finish Combinations,1.0,False
