name,parent_genre,group,weight,prompt
Mainstream Radio Pop,Pop,Core Pop,12,"Contemporary mainstream pop with concise melodic sections, immediate vocal focus, clean low end, modern drums, and a chorus designed to land on first listen."
Contemporary Pop,Pop,Core Pop,12,"Current pop songwriting with clear topline melody, compact verses, strong pre-chorus lift, polished rhythm programming, and a memorable central hook."
Dance Pop,Pop,Dance Pop,12,"Bright dance-pop with four-on-the-floor momentum, glossy synth layers, tight bass, energetic vocal phrasing, and a large sing-along chorus."
Electropop,Pop,Electronic Pop,12,"Electronic pop built from punchy programmed drums, synth bass, bright hooks, vocal layering, and sleek modern transitions."
Synth Pop,Pop,Electronic Pop,12,"Melodic synth-pop with strong keyboard hooks, electronic drums, warm bass synth, clear verse-chorus contrast, and polished vocals."
Indie Pop,Pop,Alternative Pop,12,"Characterful indie pop with conversational vocals, distinctive guitar or synth color, modest production quirks, and an understated earworm chorus."
Art Pop,Pop,Alternative Pop,10,"Art-pop with adventurous harmony, unusual textures, expressive vocal staging, and section changes that stay accessible despite experimental detail."
Hyperpop,Pop,Alternative Pop,8,"Hyperpop with exaggerated digital textures, clipped or distorted drums, bright synthetic bass, abrupt transitions, and intentionally maximal vocal processing."
K-Pop,Pop,K-Pop,14,"Polished K-pop with precision drums, tightly layered vocals, contrasting verse and pre-chorus sections, a high-impact chorus, and detailed transition production."
K-Pop Girl Group,Pop,K-Pop,14,"K-pop girl-group production with distinct member handoffs, stacked harmonies, rhythmic spoken or rap moments, sharp section switches, and a polished oversized chorus."
K-Pop Boy Group,Pop,K-Pop,12,"K-pop boy-group production with coordinated vocal roles, rhythmic rap passages, dramatic build sections, stacked harmonies, and a performance-ready chorus."
K-Pop R&B,Pop,K-Pop,10,"K-pop fused with contemporary R&B: smooth pocketed drums, layered harmonies, sleek bass, detailed vocal runs, and restrained but polished hooks."
K-Pop Hip-Hop Crossover,Pop,K-Pop,10,"K-pop and hip-hop crossover with punchy drums, rap-member handoffs, sub bass, chant-ready hooks, melodic vocal contrast, and precision transitions."
J-Pop,Pop,Japanese Pop,12,"Japanese pop with bright melodic movement, energetic chord changes, detailed arrangement turns, clean rhythm-section drive, and an emotionally lifted chorus."
J-Rock Pop Crossover,Pop,Japanese Pop,10,"Japanese pop-rock crossover with live guitars and drums, fast melodic movement, polished vocals, and detailed section changes leading to an anthemic hook."
City Pop,Pop,Japanese Pop,10,"City-pop with sophisticated seventh-chord harmony, clean guitar, electric piano, melodic bass, crisp drums, and a smooth metropolitan nighttime feel."
Girl Group Pop,Pop,Vocal Groups,12,"Girl-group pop with clear member roles, tight unison lines, stacked backing harmonies, call-and-response moments, and a concise high-recognition chorus."
Teen Pop,Pop,Core Pop,9,"Youthful bright pop with direct lyrics, simple melodic phrasing, punchy drums, clean guitar or synth support, and a highly repeatable chorus."
Power Pop,Pop,Pop Rock,10,"Power pop with bright electric guitars, melodic bass, punchy live drums, compact songwriting, and harmony-rich choruses."
Dream Pop,Pop,Alternative Pop,10,"Dream pop with hazy guitars and synth pads, soft drums, floating vocal layers, gentle bass movement, and luminous slow-blooming hooks."
Dark Pop,Pop,Alternative Pop,10,"Dark pop with restrained low-end-heavy production, minor-key hooks, intimate vocal focus, sparse percussion, and dramatic negative space."
Pop Rock,Pop,Pop Rock,12,"Pop-rock with accessible verse-chorus writing, electric guitars, bass and live-feeling drums, polished vocals, and a large melodic chorus."
Bedroom Pop,Pop,Alternative Pop,10,"Bedroom pop with intimate close vocals, compact home-studio textures, soft programmed drums, understated bass, and deliberately personal imperfections."
Disco Pop,Pop,Dance Pop,10,"Disco-pop with four-on-the-floor drums, melodic bass, bright rhythm guitar or strings, glossy vocal stacks, and an uplifting dance-floor chorus."
Funk Pop,Pop,Dance Pop,10,"Funk-pop with clipped guitar, elastic bass, tight drums, bright synth accents, rhythmic vocal phrasing, and a playful chorus."
Europop,Pop,Dance Pop,8,"High-gloss Europop with driving dance drums, bright synth hooks, direct melodic verses, and an unapologetically large chorus."
Classic Rock,Rock,Classic Rock,14,"Classic rock with electric guitars, bass and live drums, natural dynamics, riff-led verses, expressive vocals, and an earned chorus or solo payoff."
70s Arena Rock,Rock,Classic Rock,12,"1970s arena rock with roomy drums, loud riffing guitars, melodic bass, analog warmth, and expansive vocal or guitar climaxes."
80s Arena Rock,Rock,Classic Rock,10,"1980s arena rock with stacked electric guitars, punchy large-room drums, melodic bass, bright lead guitar, and a wide sing-along chorus."
90s Alternative Rock,Rock,Alternative Rock,14,"1990s alternative rock with live-band weight, textured electric guitars, melodic bass, human drums, emotionally direct vocals, and dynamic contrast."
Grunge,Rock,Alternative Rock,14,"Grunge with rough overdriven guitars, audible bass, loose heavy live drums, imperfect room energy, and quiet-to-loud emotional release."
Post-Grunge,Rock,Alternative Rock,10,"Post-grunge with dense but controlled guitars, firm bass, polished live drums, introspective verses, and a broad radio-rock chorus."
Indie Rock,Rock,Alternative Rock,12,"Indie rock with characterful guitars, conversational songwriting, organic bass-and-drum movement, and an individual less-polished identity."
Britpop,Rock,Alternative Rock,12,"Britpop with bright layered guitars, melodic bass, tambourine lift, confident vocals, and a communal anthem-sized refrain."
Glam Rock,Rock,Classic Rock,10,"Glam rock with theatrical vocals, crunchy guitars, stomping drums, melodic bass, handclap or gang-vocal accents, and swaggering hooks."
Garage Rock,Rock,Alternative Rock,10,"Garage rock with raw guitar tone, simple aggressive riffs, dry live drums, direct vocals, and minimal studio polish."
Psychedelic Rock,Rock,Classic Rock,10,"Psychedelic rock with extended guitar textures, swirling organ or synth color, elastic bass, spacious drums, and patient hypnotic development."
Southern Rock,Rock,Classic Rock,8,"Southern rock with blues-rooted twin guitars, warm bass, swinging live drums, organ color, and relaxed but forceful vocal phrasing."
Hard Rock,Rock,Hard Rock,14,"Hard rock centered on loud riffing guitars, solid bass, forceful live drums, commanding vocals, and clear high-energy chorus or solo payoffs."
Blues Rock,Rock,Hard Rock,10,"Blues rock with expressive electric guitar, muscular bass, loose live drums, blues-derived harmony, and vocal phrasing that leaves room for instrumental response."
Folk Rock,Rock,Roots Rock,9,"Folk rock combining acoustic or jangling guitars with bass and live drums, close harmonies, narrative songwriting, and organic dynamics."
Post-Rock,Rock,Experimental Rock,8,"Post-rock with patient instrumental development, repeating guitar motifs, gradual dynamic growth, restrained vocals or none, and cinematic climaxes."
Math Rock,Rock,Experimental Rock,7,"Math rock with interlocking guitars, unusual meter, precise drum accents, active bass, and tightly arranged instrumental turns."
Emo Rock,Rock,Alternative Rock,10,"Emo rock with confessional verses, ringing or distorted guitars, rising drum intensity, and a desperate cathartic chorus."
Gothic Rock,Rock,Dark Rock,9,"Gothic rock with chorus-soaked guitars, melodic bass, spacious live drums, minor-key atmosphere, and dramatic nocturnal vocals."
Post-Punk,Rock,Dark Rock,11,"Post-punk with angular guitar, prominent melodic bass, dry driving drums, restrained synth color, and cool tense vocal phrasing."
Shoegaze,Rock,Alternative Rock,12,"Shoegaze with layered fuzz, chorus and reverb guitars, melodic bass beneath the wall of sound, live drums, and soft buried vocals."
Noise Rock,Rock,Experimental Rock,7,"Noise rock with abrasive guitar texture, distorted bass, forceful live drums, dissonant transitions, and controlled chaotic energy."
Art Rock,Rock,Experimental Rock,8,"Art rock with unusual harmony, textural guitars or electronics, dynamic restraint, unexpected transitions, and a coherent dramatic arc."
Heavy Metal,Metal,Classic Metal,14,"Traditional heavy metal with twin-guitar riffs and leads, driving bass, forceful live drums, theatrical vocals, and strong riff-to-chorus transitions."
NWOBHM,Metal,Classic Metal,10,"New Wave of British Heavy Metal with galloping bass, twin harmonized guitars, energetic drums, soaring vocals, and melodic lead-guitar breaks."
Thrash Metal,Metal,Extreme Metal,12,"Thrash metal with fast palm-muted riffs, aggressive bass, rapid kick patterns, sharp stops, and barked or forceful rhythmic vocals."
Doom Metal,Metal,Extreme Metal,10,"Doom metal with slow monolithic riffs, heavy bass, deliberate drums, minor-key dread, and spacious ominous vocals."
Stoner Metal,Metal,Extreme Metal,9,"Stoner metal with thick fuzz riffs, warm bass, loose heavy drums, hypnotic repetition, and psychedelic guitar texture."
Power Metal,Metal,Melodic Metal,10,"Power metal with fast melodic guitars, driving double-kick drums, heroic harmony, soaring clean vocals, and large anthemic choruses."
Symphonic Metal,Metal,Melodic Metal,10,"Symphonic metal combining heavy guitars and drums with orchestral layers, dramatic choir or clean vocals, and cinematic section builds."
Black Metal,Metal,Extreme Metal,8,"Black metal with tremolo-picked guitars, rapid drums, cold harmonic language, harsh vocals, and atmospheric intensity."
Death Metal,Metal,Extreme Metal,10,"Death metal with dense low-tuned riffs, forceful bass, blast or double-kick drumming, guttural vocals, and abrupt technical transitions."
Nu Metal,Metal,Modern Metal,12,"Nu metal with low-tuned syncopated riffs, hip-hop-informed groove, electronic or turntable texture, sub bass, and alternating rhythmic and shouted vocals."
Metalcore,Metal,Modern Metal,14,"Modern metalcore with low-tuned precision guitars, punchy drums, breakdown impact, harsh verses, and a large clean melodic chorus."
Deathcore,Metal,Modern Metal,9,"Deathcore with extremely low-tuned riffs, rapid double-kick or blast passages, crushing breakdowns, harsh vocals, and dramatic stop-start dynamics."
Progressive Metal,Metal,Modern Metal,9,"Progressive metal with evolving riffs, odd-meter sections, detailed drums and bass, long-form arrangement, and controlled technical complexity."
Industrial Metal,Metal,Modern Metal,9,"Industrial metal combining heavy guitars with mechanical drums, distorted synths, repetitive machine grooves, and forceful processed vocals."
Alternative Metal,Metal,Modern Metal,10,"Alternative metal with heavy guitar weight, varied vocal dynamics, nontraditional textures, and strong contrast between restrained and explosive sections."
Groove Metal,Metal,Modern Metal,10,"Groove metal with syncopated heavy riffs, locked bass and drums, strong midtempo pocket, forceful vocals, and rhythmic breakdown emphasis."
Hardcore Punk,Punk,Hardcore,12,"Hardcore punk with fast blunt guitar riffs, aggressive bass, hard live drums, shouted vocals, short sections, and minimal polish."
Post-Hardcore,Punk,Hardcore,10,"Post-hardcore with angular guitars, dynamic loud-soft transitions, urgent drums, melodic and shouted vocal contrast, and emotionally charged hooks."
Pop Punk,Punk,Pop Punk,14,"Pop-punk with bright power guitars, picked bass, punchy live drums, youthful melodic vocals, and fast sing-along choruses."
Ska Punk,Punk,Ska Punk,9,"Ska punk with offbeat guitar chops, active bass, fast punk drums, horn accents, and energetic call-and-response hooks."
Punk Rock,Punk,Core Punk,12,"Direct punk rock with compact power-chord riffs, driving bass, fast live drums, raw vocals, and concise rebellious hooks."
Contemporary R&B,R&B / Soul,Modern R&B,14,"Contemporary R&B with deep pocketed drums, warm sub bass, intimate lead vocals, layered harmonies, restrained keys or guitar, and smooth section transitions."
90s R&B,R&B / Soul,Classic R&B,12,"1990s R&B with warm keys, round bass, programmed and live-feeling drums, rich stacked harmonies, melismatic lead vocals, and a strong slow-jam or midtempo hook."
Neo-Soul,R&B / Soul,Neo-Soul,14,"Neo-soul with Rhodes harmony, elastic bass, pocketed live drums, tasteful guitar, relaxed vocal phrasing, and rich human harmonic detail."
Quiet Storm,R&B / Soul,Classic R&B,10,"Quiet-storm soul with warm electric piano, silky bass, restrained drums, elegant guitar, and intimate unhurried vocals."
New Jack Swing,R&B / Soul,Classic R&B,10,"New jack swing with punchy swing-programmed drums, bright synth bass, R&B harmonies, rhythmic vocal phrasing, and energetic dance-floor hooks."
Alternative R&B,R&B / Soul,Modern R&B,11,"Alternative R&B with negative space, unusual vocal layering, deep sub bass, restrained percussion, textural electronics, and emotionally ambiguous songwriting."
Classic Soul,R&B / Soul,Soul,12,"Classic soul with live rhythm section, piano or organ, warm bass, horn accents, expressive lead voice, backing responses, and natural studio dynamics."
Motown Soul,R&B / Soul,Soul,10,"Motown-inspired soul with tight drums, melodic bass, bright tambourine, piano, guitar and horns, call-and-response backing vocals, and concise hooks."
Southern Soul,R&B / Soul,Soul,10,"Southern soul with organ, blues guitar, warm bass, pocketed live drums, gospel-rooted backing vocals, and gritty emotional lead singing."
House,Electronic,House,14,"House music with four-on-the-floor kick, syncopated bass, bright chord stabs or piano, crisp hats and claps, and gradual DJ-friendly build-and-release pacing."
Deep House,Electronic,House,12,"Deep house with warm bass, soft four-on-the-floor drums, jazzy or soulful chords, restrained vocals, and smooth long-form groove development."
Piano House,Electronic,House,10,"Piano house with bright rhythmic piano chords, melodic bass, driving kick and claps, uplifting vocal phrases, and energetic club builds."
French House,Electronic,House,10,"French house with filtered disco loops, pumping compression, funky bass, crisp club drums, and bright automation-driven payoff sections."
Progressive House,Electronic,House,10,"Progressive house with patient melodic builds, side-chained chords, clean kick and bass, emotional breakdowns, and a broad euphoric drop."
Tech House,Electronic,House,10,"Tech house with focused kick and bass groove, clipped percussion, sparse vocal chops, minimal synth motifs, and long DJ-friendly tension changes."
Techno,Electronic,Techno,14,"Techno with a dominant kick, controlled low rumble, hypnotic sequencers, repetitive percussion development, and gradual tension rather than pop-song structure."
Detroit Techno,Electronic,Techno,10,"Detroit techno with machine-funk rhythm, melodic synth sequences, crisp drum programming, futuristic harmony, and disciplined evolving arrangement."
Berlin Techno,Electronic,Techno,12,"Berlin warehouse techno with relentless kick and rumble, gritty percussion, restrained stereo width, hypnotic sequencing, and long tension arcs."
Melodic Techno,Electronic,Techno,11,"Melodic techno with driving kick and bass, emotional arpeggios or chord motifs, atmospheric breakdowns, and controlled cinematic peak returns."
Trance,Electronic,Trance,12,"Trance with driving four-on-the-floor rhythm, rolling bass, arpeggios, long builds, spacious breakdowns, supersaw lift, and an extended melodic climax."
Uplifting Trance,Electronic,Trance,11,"Uplifting trance with bright supersaws, emotional chord progression, energetic rolling bass, long breakdown, rising build, and a wide euphoric final lift."
Psytrance,Electronic,Trance,9,"Psytrance with fast rolling bass, tight kick, psychedelic sequencers, evolving effects, percussive detail, and long hypnotic progression."
Drum and Bass,Electronic,Breakbeat,12,"Drum and bass with fast detailed breakbeats, deep sub or Reese bass, half-time vocal space, atmospheric layers, and strong drop-to-breakdown contrast."
Liquid Drum and Bass,Electronic,Breakbeat,11,"Liquid drum and bass with fast clean breaks, smooth sub bass, warm chords or pads, soulful melodic vocals, and fluid emotional transitions."
Neurofunk Drum and Bass,Electronic,Breakbeat,9,"Neurofunk with engineered breakbeats, aggressive modulated bass, precise transient design, dark atmospheres, and highly controlled drop impact."
Jungle,Electronic,Breakbeat,12,"Jungle with chopped amen-style breaks, deep dub sub, sample fragments, raw rhythmic edits, and soundsystem energy."
Dubstep,Electronic,Bass Music,11,"Dubstep with spacious half-time drums, deep sub bass, syncopated bass modulation, sparse atmospheric detail, and weighty drop-centered arrangement."
Deep Dubstep,Electronic,Bass Music,10,"Deep UK-style dubstep with minimal half-time percussion, enormous clean sub bass, dark negative space, subtle dub effects, and restrained bass movement."
UK Garage,Electronic,Breakbeat,10,"UK garage with shuffled two-step drums, deep sub bass, clipped vocal chops, bright chords, and buoyant syncopated movement."
Future Garage,Electronic,Breakbeat,9,"Future garage with shuffled drums, submerged vocal fragments, deep sub, fragile keys or pads, and nocturnal spacious atmosphere."
Breakbeat,Electronic,Breakbeat,9,"Breakbeat with syncopated broken drums, elastic bass, sample or synth hooks, and dynamic transitions that avoid four-on-the-floor regularity."
Future Bass,Electronic,Bass Music,9,"Future bass with bright detuned chords, punchy half-time drums, deep sub, vocal chops, and dramatic build-to-drop dynamics."
Synthwave,Electronic,Retro Electronic,11,"Synthwave with analog arpeggios, gated drums, warm bass synth, wide pads, retro lead lines, and cinematic night-drive atmosphere."
Dark Synthwave,Electronic,Retro Electronic,9,"Dark synthwave with ominous analog bass, distorted arpeggios, gated heavy drums, cold pads, and tense cinematic retro-futurist atmosphere."
Vaporwave,Electronic,Retro Electronic,8,"Vaporwave with slowed or hazy digital textures, soft drum-machine rhythm, nostalgic synths, degraded sampling color, and intentionally unreal ambience."
IDM,Electronic,Experimental Electronic,8,"IDM with intricate programmed rhythm, unusual synthesis, granular or glitch detail, and surprising but coherent structural turns."
Hardstyle,Electronic,Hard Dance,7,"Hardstyle with distorted hard kick, driving reverse-bass or melodic bass, bright supersaw leads, dramatic builds, and festival-scale climax sections."
Trip-Hop,Electronic,Downtempo,10,"Trip-hop with slow breakbeats, deep bass, dusty texture, minor-key keys or guitar, cinematic atmosphere, and close intimate vocals."
Roots Reggae,Reggae / Dancehall,Reggae,14,"Roots reggae with deep round bass, spacious one-drop drums, offbeat skank guitar, organ bubble, conscious warmth, and selective dub echo."
Dub Reggae,Reggae / Dancehall,Reggae,11,"Dub reggae with powerful bass, dry one-drop drums, skank fragments, spring reverb, tape-echo throws, dropouts, and large negative space."
Modern Dancehall,Reggae / Dancehall,Dancehall,12,"Modern dancehall with deep bass, crisp syncopated digital drums, bright stabs, rhythmic toasting or melodic vocals, and club-ready hooks."
Lovers Rock,Reggae / Dancehall,Reggae,9,"Lovers rock with warm reggae bass, soft one-drop drums, clean guitar and keys, romantic lead vocals, backing harmonies, and smooth polished atmosphere."
Ska,Reggae / Dancehall,Ska,9,"Ska with offbeat guitar or keyboard chops, walking bass movement, lively drums, horn punctuation, and buoyant forward momentum."
Rocksteady,Reggae / Dancehall,Ska,8,"Rocksteady with slower Jamaican groove, melodic bass, offbeat guitar, restrained drums, soulful harmonies, and warm vintage vocal phrasing."
Reggaeton,Latin / Reggaeton,Latin Urban,14,"Reggaeton with steady dembow groove, controlled sub bass, bright percussion, concise melodic or rhythmic vocals, and a clean club-ready chorus."
Latin Pop,Latin / Reggaeton,Latin Pop,12,"Latin pop with accessible melodic songwriting, rhythmic guitar or keys, bright percussion, modern bass, and a polished sing-along chorus."
Salsa Pop,Latin / Reggaeton,Latin Pop,8,"Pop-oriented salsa with piano montuno, bass tumbao, lively percussion, horn punctuation, energetic lead vocal, and a concise crossover song structure."
Bachata Pop,Latin / Reggaeton,Latin Pop,8,"Bachata-pop with syncopated guitar, bongo and güira rhythm, warm bass, intimate lead vocal, and a polished melodic chorus."
Latin Trap,Latin / Reggaeton,Latin Urban,9,"Latin trap with deep 808 bass, sparse trap drums, dark melodic motifs, Spanish-language rhythmic phrasing, and atmospheric modern production."
Afrobeats,Afrobeat / Afropop,Afro-Pop,14,"Contemporary Afrobeats with interlocking guitars or keys, buoyant percussion, melodic bass, relaxed vocal pocket, and polished global-pop hooks."
Afropop,Afrobeat / Afropop,Afro-Pop,12,"Afropop with bright melodic vocals, syncopated percussion, clean guitar or synth layers, warm bass, and concise crossover-pop hooks."
Classic Afrobeat,Afrobeat / Afropop,Afrobeat,10,"Long-form classic Afrobeat with layered percussion, repeating guitar figures, elastic bass, conversational horn sections, and patient ensemble escalation."
Afrofusion,Afrobeat / Afropop,Afro-Pop,12,"Afrofusion blending contemporary African rhythmic language with R&B, hip-hop or pop harmony while preserving light-footed percussion and melodic vocal pocket."
Amapiano,Afrobeat / Afropop,Amapiano,12,"Amapiano with deep log-drum bass movement, airy piano or synth chords, shaker-led percussion, spacious groove, and patient club-oriented development."
Afro House,Afrobeat / Afropop,Amapiano,9,"Afro house with four-on-the-floor kick, layered African percussion, warm bass, hypnotic vocal or melodic motifs, and long progressive club builds."
Modern Country,Country,Country,13,"Modern country with acoustic rhythm guitar, Telecaster or pedal steel color, grounded bass, punchy live drums, direct storytelling, and a polished melodic chorus."
Outlaw Country,Country,Country,11,"Outlaw country with dry acoustic rhythm, restrained electric guitar, bass and natural drums, plainspoken vocal authority, and road-worn narrative detail."
Alt-Country,Country,Country,10,"Alt-country with roots instrumentation, organic room sound, understated electric guitar, thoughtful storytelling, and less-polished indie dynamics."
Country Rock,Country,Country,10,"Country rock with acoustic and electric guitars, bass, live drums, pedal-steel accents, and a larger driving chorus while keeping roots phrasing."
Country Pop,Country,Country,10,"Country-pop with clean acoustic guitar, polished drums, melodic bass, restrained country color, pop-focused vocal production, and immediate choruses."
Southern Soul Country,Country,Country,9,"Country fused with southern soul: organ, blues guitar, live drums, warm bass, gritty vocal dynamics, and a large emotional chorus."
Indie Folk,Folk / Acoustic,Folk,12,"Indie folk with close acoustic guitar, organic percussion, warm bass, intimate vocals, layered harmonies, and detailed personal songwriting."
Appalachian Folk,Folk / Acoustic,Folk,10,"Appalachian folk with acoustic guitar, fiddle, mandolin or banjo, upright bass, natural ensemble timing, and close narrative vocal harmony."
Americana,Folk / Acoustic,Roots,10,"Americana with acoustic and electric roots instruments, natural drums, warm bass, organ or pedal steel color, and grounded story-first vocals."
Bluegrass,Folk / Acoustic,Roots,10,"Bluegrass with fast acoustic ensemble interplay, banjo or flatpicked guitar, upright bass, fiddle, mandolin, and close vocal harmony."
Singer-Songwriter,Folk / Acoustic,Songwriter,12,"Singer-songwriter music led by intimate storytelling, natural acoustic or piano accompaniment, restrained rhythm section, and a close human vocal performance."
Acoustic Storyteller,Folk / Acoustic,Songwriter,10,"Acoustic story song with voice-forward arrangement, guitar or piano, subtle bass and percussion, and section dynamics shaped around narrative detail."
Bebop,Jazz,Jazz,10,"Bebop with agile horn or piano lines, walking bass, ride-cymbal swing, responsive comping, fast harmonic movement, and improvised solo interplay."
Cool Jazz,Jazz,Jazz,11,"Cool jazz with spacious horn phrasing, brushed drums, upright bass, piano restraint, and a late-night conversational ensemble feel."
Modal Jazz,Jazz,Jazz,9,"Modal jazz with cyclical harmony, open improvisational space, searching horn development, responsive rhythm section, and gradual intensity changes."
Spiritual Jazz,Jazz,Jazz,8,"Spiritual jazz with modal harmony, intense improvisation, percussion-rich ensemble movement, repeated motifs, and an expansive searching emotional arc."
