name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Split Diopter/Split-Diopter Camera — wide environmental framing, 24mm wide-angle lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; camera close enough to retain material texture; wide environmental framing; 24mm wide-angle lens; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0002 | Perspective/Split Diopter/Split-Diopter Camera — wide environmental framing, 105mm compressed portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; close camera distance; wide environmental framing; 105mm compressed portrait lens; asymmetrical cinematic balance; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0003 | Perspective/Split Diopter/Split-Diopter Camera — wide environmental framing, 85mm portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; environmental portrait distance; wide environmental framing; 85mm portrait lens; strong leading lines toward the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0004 | Perspective/Split Diopter/Split-Diopter Camera — cinematic landscape framing, 65mm short-portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; conversational camera distance; cinematic landscape framing; 65mm short-portrait lens; minimal uncluttered composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0005 | Perspective/Split Diopter/Split-Diopter Camera — wide environmental framing, 24mm wide-angle lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; full-figure camera distance; wide environmental framing; 24mm wide-angle lens; rule-of-thirds composition; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0006 | Perspective/Split Diopter/Split-Diopter Camera — balanced square framing, 18mm ultra-wide lens with controlled distortion, clean negative space around the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; full-figure camera distance; balanced square framing; 18mm ultra-wide lens with controlled distortion; clean negative space around the subject; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0007 | Perspective/Split Diopter/Split-Diopter Camera — vertical editorial framing, 24mm wide-angle lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; close camera distance; vertical editorial framing; 24mm wide-angle lens; symmetrical visual balance; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0008 | Perspective/Split Diopter/Split-Diopter Camera — vertical editorial framing, 105mm compressed portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; conversational camera distance; vertical editorial framing; 105mm compressed portrait lens; rule-of-thirds composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0009 | Perspective/Split Diopter/Split-Diopter Camera — medium crop, 35mm environmental lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; camera far enough back to preserve spatial context; medium crop; 35mm environmental lens; slightly off-centre editorial composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
"0010 | Perspective/Split Diopter/Split-Diopter Camera — wide environmental framing, 18mm ultra-wide lens with controlled distortion, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using split-diopter focus so an existing foreground plane and an existing distant plane remain sharp simultaneously; camera distance balanced between subject and environment; wide environmental framing; 18mm ultra-wide lens with controlled distortion; slightly off-centre editorial composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","single-plane focus, invented foreground subject, mismatched scale, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Split Diopter,1,False
