index,name,prompt,negative_prompt,category,weight,favorite
1,Picture 1 — Identity,"Use <Picture 1> as the primary identity reference for face, body proportions, skin tone, and distinctive features.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
2,Picture 2 — Clothing,"Use <Picture 2> as the clothing reference for garment type, color, material, construction, straps, closures, and trim.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
3,Picture 3 — Style,"Use <Picture 3> only as the visual style reference for lighting, palette, lens character, and finish; do not copy its identity.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
4,Video 1 — Choreography and Camera,"Use <Video 1> for movement timing, pose progression, spatial path, and camera behavior while preserving the target identity and scene rules.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
5,Audio 1 — Timing and Sound,"Use <Audio 1> for the requested timing, rhythm, dialogue, or sound relationship; distinguish reuse from timing-only reference.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
6,Same Person — Multi-Image References,"Treat all supplied same-person images as complementary views of one subject, not separate characters.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
7,Reference Sheet — Same Subject,Treat every panel in the reference sheet as the same subject and use it for multi-angle identity understanding; do not reproduce the grid.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
8,Picture 1 Identity + Picture 2 Outfit,Use <Picture 1> for identity and <Picture 2> for outfit only; preserve both roles without blending identities.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
9,Picture 1 Identity + Picture 3 Style,Use <Picture 1> for identity and <Picture 3> for style only; keep identity features unchanged.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
10,Identity + Outfit + Style,"Use <Picture 1> for identity, <Picture 2> for clothing, and <Picture 3> for style, with strict role separation.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
11,Identity + Choreography,Use <Picture 1> for identity and <Video 1> for choreography and camera; do not copy the reference video's character appearance.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
12,Identity + Audio Timing,Use <Picture 1> for identity and <Audio 1> for timing or dialogue synchronization.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
13,Full Role Stack,"Use <Picture 1> for identity, <Picture 2> for clothing, <Picture 3> for style, <Video 1> for motion/camera, and <Audio 1> for timing/sound.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
14,Target Character Only,Apply the target reference only to the named character; preserve all other characters unchanged.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
15,Non-Target Preservation,"Preserve every non-target character, prop, background element, and staging detail from the source.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
16,Style Without Scene Replacement,Transfer only the requested style characteristics while preserving the existing scene layout and content.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
17,Motion Without Appearance Transfer,"Transfer choreography and camera timing only; do not transfer the reference subject's face, outfit, or rendering style.","reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
18,Audio Timing Only,Use the supplied audio only as a rhythm and synchronization reference; do not imply that the original signal is copied.,"reference role confusion, duplicate subject, identity drift, target leakage, background replacement, missing props, unwanted style transfer, text, watermark",H3 | Reference Roles,1.0,False
