index,name,prompt,negative_prompt,category,weight,favorite
1,Soft Smile,Give <Subject 1> a soft natural smile with relaxed eyes and subtle warmth.,,Expression,1,
2,Confident Smile,Give <Subject 1> a confident smile with poised expression and strong camera presence.,,Expression,1,
3,Neutral Expression,Give <Subject 1> a neutral expression with relaxed facial muscles and calm presence.,,Expression,1,
4,Serious Expression,Give <Subject 1> a serious expression with focused eyes and controlled emotion.,,Expression,1,
5,Curious Look,Give <Subject 1> a curious expression with attentive eyes and subtle inquisitive energy.,,Expression,1,
6,Determined Look,Give <Subject 1> a determined expression with focused intensity and clear purpose.,,Expression,1,
7,Surprised Look,Give <Subject 1> a surprised expression with widened eyes and a believable reaction.,,Expression,1,
8,Sad Expression,Give <Subject 1> a sad expression with softened eyes and restrained emotion.,,Expression,1,
9,Joyful Laugh,Give <Subject 1> a joyful laughing expression with natural facial movement.,,Expression,1,
10,Bored Look,Give <Subject 1> a bored expression with half-lidded eyes and low emotional energy.,,Expression,1,
11,Smirk,Give <Subject 1> a subtle smirk with playful confidence.,,Expression,1,
12,Fearful Expression,Give <Subject 1> a fearful expression with tense eyes and believable alarm.,,Expression,1,
13,Calm Serenity,Give <Subject 1> a calm serene expression with peaceful eyes and relaxed features.,,Expression,1,
14,Focused Gaze,Give <Subject 1> a focused gaze with concentrated attention and steady eye direction.,,Expression,1,
15,Flirty Smile,Give <Subject 1> a flirty smile with subtle warmth and confident charm.,,Expression,1,
