index,name,prompt,negative_prompt,category,weight,favorite
1,Rib-Knit Arm Warmers,"Add rib-knit arm warmers to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
2,Rib-Knit Detached Sleeves,"Add rib-knit detached sleeves to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
3,Rib-Knit Forearm Cuffs,"Add rib-knit forearm cuffs to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
4,Cable-Knit Arm Warmers,"Add cable-knit arm warmers to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
5,Cable-Knit Detached Sleeves,"Add cable-knit detached sleeves to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
6,Cable-Knit Forearm Cuffs,"Add cable-knit forearm cuffs to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
7,Mesh Arm Warmers,"Add mesh arm warmers to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
8,Mesh Detached Sleeves,"Add mesh detached sleeves to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
9,Mesh Forearm Cuffs,"Add mesh forearm cuffs to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
10,Lace-Up Arm Warmers,"Add lace-up arm warmers to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Handwear | Arm Warmers and Cuffs,1.0,False
