name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Aerial Drone View/Aerial Drone View — balanced square-format framing, camera at shoulder height, 135mm long-lens perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera at shoulder height, camera positioned to include the surrounding environment, balanced square-format framing, 135mm long-lens perspective, slightly off-centre editorial composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0002 | Perspective/Aerial Drone View/Aerial Drone View — balanced square-format framing, camera at knee height, 40mm natural perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera at knee height, camera several metres from the subject, balanced square-format framing, 40mm natural perspective, asymmetrical cinematic balance, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0003 | Perspective/Aerial Drone View/Aerial Drone View — cinematic landscape framing, camera at chest height, 28mm moderately wide perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera at chest height, camera close enough to prioritise garment texture, cinematic landscape framing, 28mm moderately wide perspective, rule-of-thirds placement, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0004 | Perspective/Aerial Drone View/Aerial Drone View — balanced square-format framing, camera at shoulder height, 65mm portrait perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera at shoulder height, camera at conversational distance, balanced square-format framing, 65mm portrait perspective, foreground-to-background depth layering, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0005 | Perspective/Aerial Drone View/Aerial Drone View — medium portrait framing, camera at shoulder height, 135mm long-lens perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera at shoulder height, camera at conversational distance, medium portrait framing, 135mm long-lens perspective, slightly off-centre editorial composition, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0006 | Perspective/Aerial Drone View/Aerial Drone View — cinematic landscape framing, camera close to ground level, 105mm compressed portrait perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera close to ground level, camera far enough back to preserve the full silhouette, cinematic landscape framing, 105mm compressed portrait perspective, slightly off-centre editorial composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0007 | Perspective/Aerial Drone View/Aerial Drone View — wide environmental framing, camera aligned with the subject upper back, 35mm lens perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera aligned with the subject upper back, camera close enough to prioritise garment texture, wide environmental framing, 35mm lens perspective, slightly off-centre editorial composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0008 | Perspective/Aerial Drone View/Aerial Drone View — balanced square-format framing, camera close to ground level, 24mm wide-angle perspective with controlled distortion","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera close to ground level, camera positioned to include the surrounding environment, balanced square-format framing, 24mm wide-angle perspective with controlled distortion, centred composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0009 | Perspective/Aerial Drone View/Aerial Drone View — medium portrait framing, camera aligned with the subject upper back, 24mm wide-angle perspective with controlled distortion","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera aligned with the subject upper back, camera far enough back to preserve the full silhouette, medium portrait framing, 24mm wide-angle perspective with controlled distortion, symmetrical visual balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
"0010 | Perspective/Aerial Drone View/Aerial Drone View — balanced square-format framing, camera aligned with the subject upper back, 28mm moderately wide perspective","camera positioned high above the scene at an oblique aerial angle, primary subject clearly located within the environment, surrounding spatial layout and pathways visible, realistic drone-like scale, camera aligned with the subject upper back, camera several metres from the subject, balanced square-format framing, 28mm moderately wide perspective, rule-of-thirds placement, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","close portrait, ground-level view, missing environment, impossible altitude, miniature toy distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone View,1,False
