name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — spine vertical,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0002 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — spine vertical,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; spine vertical, chin slightly lowered; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0003 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — spine vertical,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; spine vertical, chin slightly raised; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0004 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — head tilted slightly left,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; head tilted slightly left, shoulders relaxed; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0005 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — head tilted slightly right,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; head tilted slightly right, shoulders relaxed; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0006 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — head rotated slightly left,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0007 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — head rotated slightly right,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0008 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — ribcage rotated slightly left,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; ribcage rotated slightly left, pelvis facing forward; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0009 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — ribcage rotated slightly right,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; ribcage rotated slightly right, pelvis facing forward; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0010 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — torso inclined slightly forward with a long spine,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0011 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — torso inclined slightly backward with abdominal support,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; torso inclined slightly backward with abdominal support; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0012 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — left shoulder slightly forward,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; left shoulder slightly forward, right shoulder slightly back; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0013 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — right shoulder slightly forward,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; right shoulder slightly forward, left shoulder slightly back; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0014 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — shoulders gently drawn back,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; shoulders gently drawn back, chest neutral; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0015 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — upper back gently rounded,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; upper back gently rounded, chin neutral; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0016 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — pelvis shifted slightly left while the torso counterbalances,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; pelvis shifted slightly left while the torso counterbalances; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0017 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — pelvis shifted slightly right while the torso counterbalances,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; pelvis shifted slightly right while the torso counterbalances; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
0018 | Pose/Seated/Crossed Legs/Seated Crossed Legs — pelvis supported — head aligned directly over the pelvis,"pelvis supported, left thigh crossed over the right thigh, lower legs relaxed, spine vertical; head aligned directly over the pelvis; clear joint alignment; distinct limb separation","legs uncrossed, standing posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Seated/Crossed Legs,1,False
