name,prompt,negative_prompt,category,weight,favorite
0001 | Character/DC/Superman / Clark Kent,"Superman / Clark Kent, DC Comics, iconic fictional character, blue suit, red cape, chest emblem and confident solar-powered heroic presence, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0002 | Character/DC/Batman / Bruce Wayne,"Batman / Bruce Wayne, DC Comics, iconic fictional character, black cowl, scalloped cape, armoured batsuit and intimidating nocturnal silhouette, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0003 | Character/DC/Wonder Woman / Diana Prince,"Wonder Woman / Diana Prince, DC Comics, iconic fictional character, Amazon armour, tiara, bracers, lasso and powerful regal warrior stance, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0004 | Character/DC/The Flash / Barry Allen,"The Flash / Barry Allen, DC Comics, iconic fictional character, streamlined red speed suit, gold lightning accents and kinetic energy trails, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0005 | Character/DC/The Flash / Wally West,"The Flash / Wally West, DC Comics, iconic fictional character, streamlined red speed suit, gold lightning accents and kinetic energy trails, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0006 | Character/DC/Aquaman / Arthur Curry,"Aquaman / Arthur Curry, DC Comics, iconic fictional character, Atlantean scale armour, trident and commanding ocean-king presence, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0007 | Character/DC/Green Lantern / Hal Jordan,"Green Lantern / Hal Jordan, DC Comics, iconic fictional character, emerald power-ring uniform, glowing insignia and hard-light energy constructs, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0008 | Character/DC/Green Lantern / John Stewart,"Green Lantern / John Stewart, DC Comics, iconic fictional character, emerald power-ring uniform, glowing insignia and hard-light energy constructs, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0009 | Character/DC/Green Lantern / Guy Gardner,"Green Lantern / Guy Gardner, DC Comics, iconic fictional character, emerald power-ring uniform, glowing insignia and hard-light energy constructs, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
0010 | Character/DC/Green Lantern / Kyle Rayner,"Green Lantern / Kyle Rayner, DC Comics, iconic fictional character, emerald power-ring uniform, glowing insignia and hard-light energy constructs, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/DC,1,False
