index,name,prompt,negative_prompt,category,weight,favorite
1,Static Locked Shot,Use a locked static camera. Hold the framing and horizon steady for the entire shot.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
2,Subtle Static Breathing,Use a nearly static camera with only faint natural operator breathing; keep the subject centered and readable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
3,Slow Push In,Push in slowly and smoothly toward the subject without changing the established axis.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
4,Gentle Push In,"Make a gentle controlled push toward the subject, ending on a stable closer frame.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
5,Slow Pull Out,"Pull out slowly to reveal more of the subject and environment, then settle cleanly.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
6,Reveal Pull Back,"Begin on a detail, pull back smoothly to reveal the full composition, and finish stable.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
7,Pan Left,Pan left smoothly at a constant speed while preserving subject scale and horizon.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
8,Pan Right,Pan right smoothly at a constant speed while preserving subject scale and horizon.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
9,Truck Left,Truck the camera left on a straight path while keeping the subject framed consistently.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
10,Truck Right,Truck the camera right on a straight path while keeping the subject framed consistently.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
11,Tilt Up,Tilt upward smoothly from the starting detail to the intended upper framing; do not roll the camera.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
12,Tilt Down,Tilt downward smoothly from the starting detail to the intended lower framing; do not roll the camera.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
13,Pedestal Up,Raise the camera vertically on a controlled pedestal move while maintaining lens direction.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
14,Pedestal Down,Lower the camera vertically on a controlled pedestal move while maintaining lens direction.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
15,Arc Left,"Arc gently around the subject toward camera-left, preserving distance and a steady horizon.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
16,Arc Right,"Arc gently around the subject toward camera-right, preserving distance and a steady horizon.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
17,Forward Tracking,Track forward with the moving subject at a matched pace; keep body scale stable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
18,Side Tracking,"Track beside the subject on a parallel path with smooth, consistent spacing.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
19,Rear Tracking,Track behind the subject at a stable distance while preserving direction of travel.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Moves,1.0,False
