name,prompt,negative_prompt,category,weight,favorite
"0001 | Female/Everyday & Minimal/Clean Hoodie And Straight-leg Jean Outfit — Sage, Soft Corduroy, Clean Topstitching","adult woman wearing clean hoodie and straight-leg jean outfit, soft corduroy, sage, clean topstitching, minimal modern styling, minimal tonal branding with no readable logo or text, bright apartment interior, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0002 | Female/Everyday & Minimal/Minimal Knit Midi Dress — Cream, Fine Merino-look Knit, Clean Topstitching","adult woman wearing minimal knit midi dress, fine merino-look knit, cream, clean topstitching, smart-casual workwear styling, plain-label construction with no exterior branding, modern city pavement, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0003 | Female/Everyday & Minimal/Clean Hoodie And Straight-leg Jean Outfit — Olive, Fine Merino-look Knit, Clean Topstitching","adult woman wearing clean hoodie and straight-leg jean outfit, fine merino-look knit, olive, clean topstitching, minimal modern styling, clean anonymous fashion design without brand marks, minimal office lobby, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0004 | Female/Everyday & Minimal/Shirt Dress With a Narrow Waist Belt — Charcoal, Organic Cotton Jersey, Clean Topstitching","adult woman wearing shirt dress with a narrow waist belt, organic cotton jersey, charcoal, clean topstitching, polished English high-street styling, logo-free premium garment construction, daylight studio catalogue, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0005 | Female/Everyday & Minimal/Fine-knit Cardigan And Midi-skirt Outfit — Charcoal, Linen Blend, Tonal Buttons","adult woman wearing fine-knit cardigan and midi-skirt outfit, linen blend, charcoal, tonal buttons, casual city styling, clean anonymous fashion design without brand marks, bright apartment interior, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0006 | Female/Everyday & Minimal/Cropped Jacket And High-waist Jean Outfit — Cream, Linen Blend, Subtle Ribbed Trim","adult woman wearing cropped jacket and high-waist jean outfit, linen blend, cream, subtle ribbed trim, polished English high-street styling, plain-label construction with no exterior branding, daylight studio catalogue, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0007 | Female/Everyday & Minimal/Oversized Shirt And Tailored Short Outfit — Navy, Organic Cotton Jersey, Clean Topstitching","adult woman wearing oversized shirt and tailored short outfit, organic cotton jersey, navy, clean topstitching, polished English high-street styling, plain-label construction with no exterior branding, minimal office lobby, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0008 | Female/Everyday & Minimal/Preppy Sweater And Pleated-skirt Outfit — Monochrome Black And White, Matte Ponte Jersey, Tonal Buttons","adult woman wearing preppy sweater and pleated-skirt outfit, matte ponte jersey, monochrome black and white, tonal buttons, casual city styling, minimal tonal branding with no readable logo or text, daylight studio catalogue, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0009 | Female/Everyday & Minimal/Long Trench Coat Over a Monochrome Base Outfit — Cream, Fine Merino-look Knit, Neat Rolled Cuffs","adult woman wearing long trench coat over a monochrome base outfit, fine merino-look knit, cream, neat rolled cuffs, clean American everyday styling, completely unbranded with no visible logos, daylight studio catalogue, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0010 | Female/Everyday & Minimal/Athletic Zip Jacket And Legging Outfit — Sage, Brushed Cotton, Tonal Buttons","adult woman wearing athletic zip jacket and legging outfit, brushed cotton, sage, tonal buttons, relaxed weekend styling, minimal tonal branding with no readable logo or text, modern city pavement, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0011 | Female/Everyday & Minimal/Longline Coat And Knitted Dress Outfit — Dusty Rose, Soft Rib Knit, Hidden Placket","adult woman wearing longline coat and knitted dress outfit, soft rib knit, dusty rose, hidden placket, clean American everyday styling, completely unbranded with no visible logos, daylight studio catalogue, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0012 | Female/Everyday & Minimal/Button-front Blouse And Straight-skirt Outfit — Burgundy, Fluid Crepe, Hidden Placket","adult woman wearing button-front blouse and straight-skirt outfit, fluid crepe, burgundy, hidden placket, minimal modern styling, completely unbranded with no visible logos, modern city pavement, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0013 | Female/Everyday & Minimal/Utility Jacket And Cargo-trouser Outfit — Black, Fluid Crepe, Softly Structured Shoulders","adult woman wearing utility jacket and cargo-trouser outfit, fluid crepe, black, softly structured shoulders, relaxed weekend styling, clean anonymous fashion design without brand marks, coffee-shop street scene, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0014 | Female/Everyday & Minimal/Wrap Midi Dress — Chocolate Brown, Lightweight Twill, Simple Contrast Piping","adult woman wearing wrap midi dress, lightweight twill, chocolate brown, simple contrast piping, polished English high-street styling, completely unbranded with no visible logos, minimal office lobby, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0015 | Female/Everyday & Minimal/Longline Coat And Knitted Dress Outfit — Camel, Linen Blend, Subtle Ribbed Trim","adult woman wearing longline coat and knitted dress outfit, linen blend, camel, subtle ribbed trim, casual city styling, clean anonymous fashion design without brand marks, modern city pavement, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0016 | Female/Everyday & Minimal/Athletic Zip Jacket And Legging Outfit — White, Washed Denim, Clean Topstitching","adult woman wearing athletic zip jacket and legging outfit, washed denim, white, clean topstitching, polished English high-street styling, logo-free premium garment construction, coffee-shop street scene, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
"0017 | Female/Everyday & Minimal/Athletic Zip Jacket And Legging Outfit — Monochrome Black And White, Linen Blend, Tonal Buttons","adult woman wearing athletic zip jacket and legging outfit, linen blend, monochrome black and white, tonal buttons, relaxed weekend styling, clean anonymous fashion design without brand marks, coffee-shop street scene, realistic fabric behaviour, precise stitching and garment construction, flattering but natural fit, coherent accessories, professional lighting, polished high-end finish","visible brand logo, brand name, advertising text, monogram logo, watermark, random lettering, child, teen, underage, youthful childlike body, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, fused accessories, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Everyday & Minimal,1,False
