index,name,prompt,negative_prompt,category,weight,favorite
1,Low-Top Sneakers,"Dress <Subject 1> in low-top sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
2,High-Top Sneakers,"Dress <Subject 1> in high-top sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
3,Platform Sneakers,"Dress <Subject 1> in platform sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
4,Running-Inspired Sneakers,"Dress <Subject 1> in running-inspired sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
5,Canvas Sneakers,"Dress <Subject 1> in canvas sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
6,Leather Loafers,"Dress <Subject 1> in leather loafers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
7,Platform Loafers,"Dress <Subject 1> in platform loafers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
8,Penny Loafers,"Dress <Subject 1> in penny loafers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
9,Ballet Flats,"Dress <Subject 1> in ballet flats, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
10,Pointed Flats,"Dress <Subject 1> in pointed flats, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
11,Mary Jane Flats,"Dress <Subject 1> in mary jane flats, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
12,Mules,"Dress <Subject 1> in mules, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
13,Clogs,"Dress <Subject 1> in clogs, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
14,Espadrilles,"Dress <Subject 1> in espadrilles, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
15,Slide Sandals,"Dress <Subject 1> in slide sandals, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
16,Strappy Sandals,"Dress <Subject 1> in strappy sandals, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
17,Gladiator Sandals,"Dress <Subject 1> in gladiator sandals, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
18,Wedge Sandals,"Dress <Subject 1> in wedge sandals, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
19,Platform Sandals,"Dress <Subject 1> in platform sandals, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
20,Slingback Flats,"Dress <Subject 1> in slingback flats, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Flats Sneakers Sandals,1.0,False
