name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Low Right Angle/Low Right Camera — cinematic landscape framing, 65mm short-portrait lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; environmental portrait distance; cinematic landscape framing; 65mm short-portrait lens; slightly off-centre editorial composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0002 | Perspective/Low Right Angle/Low Right Camera — full-figure framing, 70mm short-telephoto lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera far enough back to preserve spatial context; full-figure framing; 70mm short-telephoto lens; centred composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0003 | Perspective/Low Right Angle/Low Right Camera — wide environmental framing, 65mm short-portrait lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera close enough to retain material texture; wide environmental framing; 65mm short-portrait lens; strong leading lines toward the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0004 | Perspective/Low Right Angle/Low Right Camera — wide environmental framing, 50mm standard lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera close enough to retain material texture; wide environmental framing; 50mm standard lens; centred composition; foreground softly separated from the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0005 | Perspective/Low Right Angle/Low Right Camera — balanced square framing, 65mm short-portrait lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; full-figure camera distance; balanced square framing; 65mm short-portrait lens; strong leading lines toward the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0006 | Perspective/Low Right Angle/Low Right Camera — balanced square framing, 135mm telephoto lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; moderate camera distance; balanced square framing; 135mm telephoto lens; foreground-to-background depth layering; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0007 | Perspective/Low Right Angle/Low Right Camera — balanced square framing, 65mm short-portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; close camera distance; balanced square framing; 65mm short-portrait lens; environmental elements framing the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0008 | Perspective/Low Right Angle/Low Right Camera — cinematic landscape framing, 40mm natural-perspective lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; intimate portrait distance; cinematic landscape framing; 40mm natural-perspective lens; symmetrical visual balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0009 | Perspective/Low Right Angle/Low Right Camera — full-figure framing, 24mm wide-angle lens with controlled edge distortion, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; wide scene distance; full-figure framing; 24mm wide-angle lens with controlled edge distortion; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0010 | Perspective/Low Right Angle/Low Right Camera — vertical editorial framing, 105mm compressed portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera far enough back to preserve spatial context; vertical editorial framing; 105mm compressed portrait lens; minimal uncluttered composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0011 | Perspective/Low Right Angle/Low Right Camera — tight portrait crop, 35mm environmental lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera distance balanced between subject and environment; tight portrait crop; 35mm environmental lens; strong leading lines toward the subject; clean edge separation around the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0012 | Perspective/Low Right Angle/Low Right Camera — waist-up crop, 24mm wide-angle lens with controlled edge distortion, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; intimate portrait distance; waist-up crop; 24mm wide-angle lens with controlled edge distortion; slightly off-centre editorial composition; deep focus across the visible environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0013 | Perspective/Low Right Angle/Low Right Camera — head-and-shoulders crop, 70mm short-telephoto lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera far enough back to preserve spatial context; head-and-shoulders crop; 70mm short-telephoto lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0014 | Perspective/Low Right Angle/Low Right Camera — cinematic landscape framing, 105mm compressed portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera distance balanced between subject and environment; cinematic landscape framing; 105mm compressed portrait lens; foreground-to-background depth layering; focus locked on the primary subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0015 | Perspective/Low Right Angle/Low Right Camera — cinematic landscape framing, 85mm portrait lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; moderate camera distance; cinematic landscape framing; 85mm portrait lens; centred composition; deep focus across the visible environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0016 | Perspective/Low Right Angle/Low Right Camera — wide environmental framing, 135mm telephoto lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; close camera distance; wide environmental framing; 135mm telephoto lens; clean negative space around the subject; deep focus across the visible environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0017 | Perspective/Low Right Angle/Low Right Camera — tight portrait crop, 105mm compressed portrait lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera close enough to retain material texture; tight portrait crop; 105mm compressed portrait lens; clean negative space around the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0018 | Perspective/Low Right Angle/Low Right Camera — head-and-shoulders crop, 50mm standard lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; intimate portrait distance; head-and-shoulders crop; 50mm standard lens; minimal uncluttered composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0019 | Perspective/Low Right Angle/Low Right Camera — tight portrait crop, 35mm environmental lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera distance balanced between subject and environment; tight portrait crop; 35mm environmental lens; rule-of-thirds composition; clean edge separation around the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0020 | Perspective/Low Right Angle/Low Right Camera — wide environmental framing, 85mm portrait lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; wide scene distance; wide environmental framing; 85mm portrait lens; centred composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0021 | Perspective/Low Right Angle/Low Right Camera — three-quarter-length crop, 24mm wide-angle lens with controlled edge distortion, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera far enough back to preserve spatial context; three-quarter-length crop; 24mm wide-angle lens with controlled edge distortion; slightly off-centre editorial composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0022 | Perspective/Low Right Angle/Low Right Camera — medium crop, 24mm wide-angle lens with controlled edge distortion, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera far enough back to preserve spatial context; medium crop; 24mm wide-angle lens with controlled edge distortion; foreground-to-background depth layering; clean edge separation around the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0023 | Perspective/Low Right Angle/Low Right Camera — full-figure framing, 40mm natural-perspective lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera far enough back to preserve spatial context; full-figure framing; 40mm natural-perspective lens; rule-of-thirds composition; focus locked on the primary subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0024 | Perspective/Low Right Angle/Low Right Camera — three-quarter-length crop, 70mm short-telephoto lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; full-figure camera distance; three-quarter-length crop; 70mm short-telephoto lens; slightly off-centre editorial composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0025 | Perspective/Low Right Angle/Low Right Camera — three-quarter-length crop, 85mm portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; conversational camera distance; three-quarter-length crop; 85mm portrait lens; rule-of-thirds composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0026 | Perspective/Low Right Angle/Low Right Camera — waist-up crop, 65mm short-portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; conversational camera distance; waist-up crop; 65mm short-portrait lens; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0027 | Perspective/Low Right Angle/Low Right Camera — tight portrait crop, 28mm moderately wide lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; environmental portrait distance; tight portrait crop; 28mm moderately wide lens; minimal uncluttered composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0028 | Perspective/Low Right Angle/Low Right Camera — full-figure framing, 70mm short-telephoto lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; full-figure camera distance; full-figure framing; 70mm short-telephoto lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0029 | Perspective/Low Right Angle/Low Right Camera — medium crop, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; camera distance balanced between subject and environment; medium crop; 70mm short-telephoto lens; asymmetrical cinematic balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0030 | Perspective/Low Right Angle/Low Right Camera — wide environmental framing, 40mm natural-perspective lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; full-figure camera distance; wide environmental framing; 40mm natural-perspective lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
"0031 | Perspective/Low Right Angle/Low Right Camera — three-quarter-length crop, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned below and to the subject's right, angled upward from an oblique side view; full-figure camera distance; three-quarter-length crop; 70mm short-telephoto lens; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry","high right angle, low left angle, direct frontal alignment, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Low Right Angle,1,False
