index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Underwear & Lingerie/Straps Closures & Trim/Adjustable Straps,"Use adjustable straps as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
2,Female/Underwear & Lingerie/Straps Closures & Trim/Wide Supportive Straps,"Use wide supportive straps as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
3,Female/Underwear & Lingerie/Straps Closures & Trim/Spaghetti Straps,"Use spaghetti straps as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
4,Female/Underwear & Lingerie/Straps Closures & Trim/Halter Neck Straps,"Use halter neck straps as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
5,Female/Underwear & Lingerie/Straps Closures & Trim/Cross-back Straps,"Use cross-back straps as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
6,Female/Underwear & Lingerie/Straps Closures & Trim/Racerback Detail,"Use racerback detail as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
7,Female/Underwear & Lingerie/Straps Closures & Trim/Strapless Finish,"Use strapless finish as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
8,Female/Underwear & Lingerie/Straps Closures & Trim/Front Closure,"Use front closure as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
9,Female/Underwear & Lingerie/Straps Closures & Trim/Back Hook-and-eye Closure,"Use back hook-and-eye closure as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
10,Female/Underwear & Lingerie/Straps Closures & Trim/Side Tie Detail,"Use side tie detail as a defining construction detail for the underwear or lingerie, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Underwear & Lingerie/Straps Closures & Trim,1,False
