name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — head level,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; head level, chin neutral, shoulders level; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0002 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — chin slightly lowered,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; chin slightly lowered, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0003 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — chin slightly raised,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; chin slightly raised, neck lengthened, shoulders level; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0004 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — head tilted slightly left,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; head tilted slightly left, shoulders level; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0005 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — head tilted slightly right,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; head tilted slightly right, shoulders level; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0006 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — head rotated slightly left,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; head rotated slightly left, ribcage facing forward; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0007 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — head rotated slightly right,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; head rotated slightly right, ribcage facing forward; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0008 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — left shoulder slightly higher than the right,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; left shoulder slightly higher than the right; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0009 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — right shoulder slightly higher than the left,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; right shoulder slightly higher than the left; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0010 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — shoulders gently drawn back,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; shoulders gently drawn back, chest neutral; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0011 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — shoulders relaxed and lowered,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; shoulders relaxed and lowered, chest neutral; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0012 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — ribcage rotated slightly left,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; ribcage rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0013 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — ribcage rotated slightly right,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; ribcage rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0014 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — pelvis shifted slightly left,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; pelvis shifted slightly left, shoulders counterbalanced; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0015 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — pelvis shifted slightly right,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; pelvis shifted slightly right, shoulders counterbalanced; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0016 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — spine long and vertical,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; spine long and vertical, abdominal wall neutral; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0017 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — upper back gently rounded,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; upper back gently rounded, pelvis stable; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0018 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — upper back gently extended,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; upper back gently extended, pelvis stable; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0019 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — chin angled toward the left collarbone,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; chin angled toward the left collarbone; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0020 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the left leg — chin angled toward the right collarbone,"weight carried mainly through the left leg, right knee relaxed, right hip lowered, arms resting beside the torso; chin angled toward the right collarbone; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
0021 | Pose/Standing/Contrapposto/Contrapposto — weight carried mainly through the right leg — head level,"weight carried mainly through the right leg, left knee relaxed, left hip lowered, arms resting beside the torso; head level, chin neutral, shoulders level; clear joint alignment; distinct limb separation","equal weight on both legs, rigid symmetrical stance, seated posture, kneeling posture, lying posture, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/Contrapposto,1,False
