name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Tracking From Front/Front Tracking Shot — full-body framing, camera at knee height, 35mm lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera at knee height, camera several metres from the subject, full-body framing, 35mm lens perspective, strong leading lines directing attention to the subject, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0002 | Perspective/Tracking From Front/Front Tracking Shot — wide environmental framing, camera at knee height, 135mm long-lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera at knee height, camera at intimate portrait distance, wide environmental framing, 135mm long-lens perspective, strong leading lines directing attention to the subject, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0003 | Perspective/Tracking From Front/Front Tracking Shot — balanced square-format framing, camera at knee height, 35mm lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera at knee height, camera close enough to prioritise garment texture, balanced square-format framing, 35mm lens perspective, strong leading lines directing attention to the subject, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0004 | Perspective/Tracking From Front/Front Tracking Shot — balanced square-format framing, camera at eye level, 50mm standard lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera at eye level, camera close enough to prioritise garment texture, balanced square-format framing, 50mm standard lens perspective, symmetrical visual balance, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0005 | Perspective/Tracking From Front/Front Tracking Shot — waist-up framing, camera elevated above the subject, 135mm long-lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera elevated above the subject, camera at moderate environmental distance, waist-up framing, 135mm long-lens perspective, minimal uncluttered composition, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0006 | Perspective/Tracking From Front/Front Tracking Shot — tight portrait framing, camera aligned with the subject upper back, 28mm moderately wide perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera aligned with the subject upper back, camera at intimate portrait distance, tight portrait framing, 28mm moderately wide perspective, environment framing the subject naturally, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0007 | Perspective/Tracking From Front/Front Tracking Shot — medium portrait framing, camera slightly below eye level, 40mm natural perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera slightly below eye level, camera positioned to include the surrounding environment, medium portrait framing, 40mm natural perspective, minimal uncluttered composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0008 | Perspective/Tracking From Front/Front Tracking Shot — medium portrait framing, camera at shoulder height, 35mm lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera at shoulder height, camera at moderate environmental distance, medium portrait framing, 35mm lens perspective, centred composition, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0009 | Perspective/Tracking From Front/Front Tracking Shot — head-and-shoulders framing, camera at waist height, 50mm standard lens perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera at waist height, camera far enough back to preserve the full silhouette, head-and-shoulders framing, 50mm standard lens perspective, foreground-to-background depth layering, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
"0010 | Perspective/Tracking From Front/Front Tracking Shot — waist-up framing, camera slightly above eye level, 70mm short-telephoto perspective","camera moving backward ahead of the primary subject while facing them, subject travelling toward camera, front orientation maintained, movement path and environmental depth clearly readable, camera slightly above eye level, camera far enough back to preserve the full silhouette, waist-up framing, 70mm short-telephoto perspective, slightly off-centre editorial composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","rear tracking shot, back facing camera, subject travelling away, hidden face, reversed direction, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Tracking From Front,1,False
