name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/High Angle/High-Angle View — medium portrait framing, camera at knee height, 40mm natural perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera at knee height, camera at natural observational distance, medium portrait framing, 40mm natural perspective, minimal uncluttered composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0002 | Perspective/High Angle/High-Angle View — wide environmental framing, camera slightly above eye level, 85mm portrait perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera slightly above eye level, camera at natural observational distance, wide environmental framing, 85mm portrait perspective, clean negative space around the subject, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0003 | Perspective/High Angle/High-Angle View — waist-up framing, camera slightly below eye level, 40mm natural perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera slightly below eye level, camera positioned to include the surrounding environment, waist-up framing, 40mm natural perspective, slightly off-centre editorial composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0004 | Perspective/High Angle/High-Angle View — wide environmental framing, camera at knee height, 65mm portrait perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera at knee height, camera several metres from the subject, wide environmental framing, 65mm portrait perspective, symmetrical visual balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0005 | Perspective/High Angle/High-Angle View — waist-up framing, camera close to ground level, 35mm lens perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera close to ground level, camera at conversational distance, waist-up framing, 35mm lens perspective, environment framing the subject naturally, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0006 | Perspective/High Angle/High-Angle View — cinematic landscape framing, camera at chest height, 105mm compressed portrait perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera at chest height, camera close enough to prioritise garment texture, cinematic landscape framing, 105mm compressed portrait perspective, asymmetrical cinematic balance, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0007 | Perspective/High Angle/High-Angle View — three-quarter body framing, camera at eye level, 28mm moderately wide perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera at eye level, camera close to the subject, three-quarter body framing, 28mm moderately wide perspective, minimal uncluttered composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0008 | Perspective/High Angle/High-Angle View — vertical editorial framing, camera close to ground level, 65mm portrait perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera close to ground level, camera several metres from the subject, vertical editorial framing, 65mm portrait perspective, minimal uncluttered composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0009 | Perspective/High Angle/High-Angle View — medium portrait framing, camera elevated above the subject, 24mm wide-angle perspective with controlled distortion","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera elevated above the subject, camera close enough to prioritise garment texture, medium portrait framing, 24mm wide-angle perspective with controlled distortion, strong leading lines directing attention to the subject, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
"0010 | Perspective/High Angle/High-Angle View — tight portrait framing, camera slightly below eye level, 50mm standard lens perspective","camera positioned above the primary subject and angled downward, top planes of head and shoulders visible, vertical lines receding below the camera, subject remains proportionally coherent, camera slightly below eye level, camera at conversational distance, tight portrait framing, 50mm standard lens perspective, environment framing the subject naturally, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","low-angle view, upward-looking camera, distorted giant head, flattened body, impossible overhead geometry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/High Angle,1,False
