name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — full-figure framing, 65mm short-portrait lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; camera close enough to retain material texture; full-figure framing; 65mm short-portrait lens; slightly off-centre editorial composition; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0002 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — vertical editorial framing, 40mm natural-perspective lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; camera distance balanced between subject and environment; vertical editorial framing; 40mm natural-perspective lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0003 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — waist-up crop, 85mm portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; close camera distance; waist-up crop; 85mm portrait lens; minimal uncluttered composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0004 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — full-figure framing, 105mm compressed portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; wide scene distance; full-figure framing; 105mm compressed portrait lens; environmental elements framing the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0005 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — cinematic landscape framing, 24mm wide-angle lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; intimate portrait distance; cinematic landscape framing; 24mm wide-angle lens; foreground-to-background depth layering; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0006 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — head-and-shoulders crop, 28mm moderately wide lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; full-figure camera distance; head-and-shoulders crop; 28mm moderately wide lens; foreground-to-background depth layering; balanced focus between subject and immediate surroundings; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0007 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — three-quarter-length crop, 18mm ultra-wide lens with controlled distortion, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; moderate camera distance; three-quarter-length crop; 18mm ultra-wide lens with controlled distortion; slightly off-centre editorial composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0008 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — head-and-shoulders crop, 105mm compressed portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; conversational camera distance; head-and-shoulders crop; 105mm compressed portrait lens; strong leading lines toward the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0009 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — full-figure framing, 105mm compressed portrait lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; conversational camera distance; full-figure framing; 105mm compressed portrait lens; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
"0010 | Perspective/Three-Quarter Front Right/Three-Quarter Front Right Camera — three-quarter-length crop, 28mm moderately wide lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned in front of and to the subject's right at approximately forty-five degrees; camera close enough to retain material texture; three-quarter-length crop; 28mm moderately wide lens; strong leading lines toward the subject; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","rear-right camera placement, front-left camera placement, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Front Right,1,False
