index,name,prompt,negative_prompt,category,weight,favorite
1,Single Nostril Stud,"Add single nostril stud to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
2,Delicate Nostril Hoop,"Add delicate nostril hoop to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
3,Septum Clicker,"Add septum clicker to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
4,Earlobe Stud Set,"Add earlobe stud set to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
5,Double Lobe Hoops,"Add double lobe hoops to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
6,Helix Ear Cuff,"Add helix ear cuff to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
7,Conch Ear Cuff,"Add conch ear cuff to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
8,Tragus Stud,"Add tragus stud to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
9,Industrial-Style Ear Bar,"Add industrial-style ear bar to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
10,Eyebrow Barbell,"Add eyebrow barbell to <Subject 1>'s fashion styling; preserve exact placement, scale, material, clasp, and hardware throughout the shot. Fashion beauty styling only; keep placement clean, subtle, and non-explicit.","low quality, blurry, malformed anatomy, bad hands, extra fingers, text, watermark, floating accessory, duplicated accessory, fused jewelry, broken clasp, warped hardware, changing accessory, incorrect placement",Accessories Body Jewelry | Body Jewelry,1.0,False
