index,name,prompt,negative_prompt,category,weight,favorite
1,Extreme Close-Up,Frame an extreme close-up of one specified facial or product detail; keep the detail sharp and unobstructed.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
2,Close-Up,Use a stable close-up framing with the full face readable and comfortable headroom.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
3,Head-and-Shoulders,Frame the head and shoulders cleanly with balanced headroom and no cropped chin.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
4,Medium Close-Up,Frame from upper chest upward with a natural portrait perspective.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
5,Medium Shot,Frame the subject from approximately waist up with hands visible when they enter the action.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
6,Medium-Wide Shot,Use a medium-wide framing that shows the subject and enough environment for context.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
7,Full-Body Shot,"Keep the full body, footwear, and ground contact visible with comfortable margins.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
8,Wide Establishing Shot,Establish the complete location and subject position in one clear wide frame.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
9,Low Angle,View the subject from a controlled low angle without extreme lens distortion.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
10,High Angle,View the subject from a gentle high angle while preserving natural proportions.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
11,Over-the-Shoulder,Use an over-the-shoulder composition with the foreground shoulder restrained and the target subject clear.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
12,Front Three-Quarter,Use a front three-quarter view that shows facial structure and outfit silhouette clearly.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
13,Profile,Use a clean side-profile framing with the face outline and direction of gaze readable.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
14,Rear Three-Quarter,"Use a rear three-quarter view while preserving identity, hairstyle, outfit, and direction.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
15,Rear View,Use a stable rear view with outfit and hair continuity; do not rotate the subject unexpectedly.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
16,Top-Down,Use a centered top-down view with a level image plane and clearly arranged scene elements.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
17,Macro Product Detail,"Frame a single material, accessory, or product detail at macro scale with stable focus.","camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
18,Ground-Level Detail,Frame footwear or ground contact from a low ground-level angle without distorting the legs.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
19,Symmetrical Center Frame,Center the subject in a balanced symmetrical composition and hold the axis.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
20,Rule-of-Thirds Portrait,Place the subject on a clear third with intentional negative space and stable eye line.,"camera jitter, accidental reframing, sudden cut, warped perspective, subject drift, focus hunting, rolling shutter, text, watermark",H3 | Camera Framing & Angles,1.0,False
