name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Symmetrical Centered/Symmetrical Centered View — balanced square-format framing, camera slightly below eye level, 40mm natural perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera slightly below eye level, camera at moderate environmental distance, balanced square-format framing, 40mm natural perspective, strong leading lines directing attention to the subject, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0002 | Perspective/Symmetrical Centered/Symmetrical Centered View — tight portrait framing, camera at chest height, 105mm compressed portrait perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera at chest height, camera positioned to include foreground depth, tight portrait framing, 105mm compressed portrait perspective, minimal uncluttered composition, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0003 | Perspective/Symmetrical Centered/Symmetrical Centered View — head-and-shoulders framing, camera aligned with the subject upper back, 65mm portrait perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera aligned with the subject upper back, camera close to the subject, head-and-shoulders framing, 65mm portrait perspective, minimal uncluttered composition, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0004 | Perspective/Symmetrical Centered/Symmetrical Centered View — waist-up framing, camera at waist height, 35mm lens perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera at waist height, camera at natural observational distance, waist-up framing, 35mm lens perspective, centred composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0005 | Perspective/Symmetrical Centered/Symmetrical Centered View — full-body framing, camera elevated above the subject, 40mm natural perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera elevated above the subject, camera at intimate portrait distance, full-body framing, 40mm natural perspective, asymmetrical cinematic balance, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0006 | Perspective/Symmetrical Centered/Symmetrical Centered View — vertical editorial framing, camera close to ground level, 70mm short-telephoto perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera close to ground level, camera positioned to include the surrounding environment, vertical editorial framing, 70mm short-telephoto perspective, foreground-to-background depth layering, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0007 | Perspective/Symmetrical Centered/Symmetrical Centered View — head-and-shoulders framing, camera at eye level, 70mm short-telephoto perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera at eye level, camera positioned to include the surrounding environment, head-and-shoulders framing, 70mm short-telephoto perspective, slightly off-centre editorial composition, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0008 | Perspective/Symmetrical Centered/Symmetrical Centered View — head-and-shoulders framing, camera at knee height, 85mm portrait perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera at knee height, camera close to the subject, head-and-shoulders framing, 85mm portrait perspective, foreground-to-background depth layering, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0009 | Perspective/Symmetrical Centered/Symmetrical Centered View — three-quarter body framing, camera elevated above the subject, 105mm compressed portrait perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera elevated above the subject, camera several metres from the subject, three-quarter body framing, 105mm compressed portrait perspective, centred composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
"0010 | Perspective/Symmetrical Centered/Symmetrical Centered View — vertical editorial framing, camera aligned with the subject upper back, 40mm natural perspective","camera aligned with the central axis of the scene, primary subject centred precisely, left and right visual weight balanced, architectural or environmental symmetry clearly readable, camera aligned with the subject upper back, camera at natural observational distance, vertical editorial framing, 40mm natural perspective, symmetrical visual balance, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","off-centre subject, tilted axis, uneven framing, mismatched sides, accidental asymmetry, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Symmetrical Centered,1,False
