name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Low Angle/Low-Angle View — balanced square-format framing, camera slightly above eye level, 35mm lens perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera slightly above eye level, camera at intimate portrait distance, balanced square-format framing, 35mm lens perspective, slightly off-centre editorial composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0002 | Perspective/Low Angle/Low-Angle View — waist-up framing, camera at chest height, 70mm short-telephoto perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera at chest height, camera at conversational distance, waist-up framing, 70mm short-telephoto perspective, slightly off-centre editorial composition, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0003 | Perspective/Low Angle/Low-Angle View — three-quarter body framing, camera elevated above the subject, 70mm short-telephoto perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera elevated above the subject, camera positioned to include the surrounding environment, three-quarter body framing, 70mm short-telephoto perspective, asymmetrical cinematic balance, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0004 | Perspective/Low Angle/Low-Angle View — full-body framing, camera close to ground level, 28mm moderately wide perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera close to ground level, camera far enough back to preserve the full silhouette, full-body framing, 28mm moderately wide perspective, symmetrical visual balance, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0005 | Perspective/Low Angle/Low-Angle View — waist-up framing, camera at eye level, 35mm lens perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera at eye level, camera at natural observational distance, waist-up framing, 35mm lens perspective, foreground-to-background depth layering, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0006 | Perspective/Low Angle/Low-Angle View — full-body framing, camera aligned with the subject upper back, 65mm portrait perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera aligned with the subject upper back, camera close to the subject, full-body framing, 65mm portrait perspective, rule-of-thirds placement, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0007 | Perspective/Low Angle/Low-Angle View — three-quarter body framing, camera close to ground level, 24mm wide-angle perspective with controlled distortion","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera close to ground level, camera at natural observational distance, three-quarter body framing, 24mm wide-angle perspective with controlled distortion, symmetrical visual balance, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0008 | Perspective/Low Angle/Low-Angle View — cinematic landscape framing, camera slightly below eye level, 105mm compressed portrait perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera slightly below eye level, camera at moderate environmental distance, cinematic landscape framing, 105mm compressed portrait perspective, strong leading lines directing attention to the subject, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0009 | Perspective/Low Angle/Low-Angle View — vertical editorial framing, camera at eye level, 135mm long-lens perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera at eye level, camera close to the subject, vertical editorial framing, 135mm long-lens perspective, rule-of-thirds placement, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
"0010 | Perspective/Low Angle/Low-Angle View — wide environmental framing, camera aligned with the subject upper back, 40mm natural perspective","camera positioned below the primary subject and angled upward, lower planes and upward vertical perspective visible, subject appears grounded and imposing without extreme distortion, camera aligned with the subject upper back, camera at moderate environmental distance, wide environmental framing, 40mm natural perspective, environment framing the subject naturally, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","high-angle view, top-down view, floating feet, oversized legs, extreme fisheye distortion, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Low Angle,1,False
