index,name,prompt,negative_prompt,category,weight,favorite
1,Black-On-Black Circuit Pattern,"Apply black-on-black circuit pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
2,Black-On-Black Glitch Pattern,"Apply black-on-black glitch pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
3,Black-On-Black Cyber Grid,"Apply black-on-black cyber grid to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
4,Black-On-Black Flame Print,"Apply black-on-black flame print to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
5,Black-On-Black Checkerboard,"Apply black-on-black checkerboard to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
6,Black-On-Black Barbed-Scroll Motif,"Apply black-on-black barbed-scroll motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
7,Black-On-Black Celestial Motif,"Apply black-on-black celestial motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
8,Black-On-Black Gothic Rose Motif,"Apply black-on-black gothic rose motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
9,Neon-On-Black Circuit Pattern,"Apply neon-on-black circuit pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
10,Neon-On-Black Glitch Pattern,"Apply neon-on-black glitch pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
11,Neon-On-Black Cyber Grid,"Apply neon-on-black cyber grid to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
12,Neon-On-Black Flame Print,"Apply neon-on-black flame print to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
13,Neon-On-Black Checkerboard,"Apply neon-on-black checkerboard to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
14,Neon-On-Black Barbed-Scroll Motif,"Apply neon-on-black barbed-scroll motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
15,Neon-On-Black Celestial Motif,"Apply neon-on-black celestial motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
16,Neon-On-Black Gothic Rose Motif,"Apply neon-on-black gothic rose motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
17,Silver-On-Black Circuit Pattern,"Apply silver-on-black circuit pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
18,Silver-On-Black Glitch Pattern,"Apply silver-on-black glitch pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
19,Silver-On-Black Cyber Grid,"Apply silver-on-black cyber grid to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
20,Silver-On-Black Flame Print,"Apply silver-on-black flame print to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
21,Silver-On-Black Checkerboard,"Apply silver-on-black checkerboard to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
22,Silver-On-Black Barbed-Scroll Motif,"Apply silver-on-black barbed-scroll motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
23,Silver-On-Black Celestial Motif,"Apply silver-on-black celestial motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
24,Silver-On-Black Gothic Rose Motif,"Apply silver-on-black gothic rose motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
25,Red-On-Black Circuit Pattern,"Apply red-on-black circuit pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
26,Red-On-Black Glitch Pattern,"Apply red-on-black glitch pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
27,Red-On-Black Cyber Grid,"Apply red-on-black cyber grid to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
28,Red-On-Black Flame Print,"Apply red-on-black flame print to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
29,Red-On-Black Checkerboard,"Apply red-on-black checkerboard to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
30,Red-On-Black Barbed-Scroll Motif,"Apply red-on-black barbed-scroll motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
31,Red-On-Black Celestial Motif,"Apply red-on-black celestial motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
32,Red-On-Black Gothic Rose Motif,"Apply red-on-black gothic rose motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
33,Holographic Circuit Pattern,"Apply holographic circuit pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
34,Holographic Glitch Pattern,"Apply holographic glitch pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
35,Holographic Cyber Grid,"Apply holographic cyber grid to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
36,Holographic Flame Print,"Apply holographic flame print to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
37,Holographic Checkerboard,"Apply holographic checkerboard to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
38,Holographic Barbed-Scroll Motif,"Apply holographic barbed-scroll motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
39,Holographic Celestial Motif,"Apply holographic celestial motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
40,Holographic Gothic Rose Motif,"Apply holographic gothic rose motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
41,Reflective Circuit Pattern,"Apply reflective circuit pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
42,Reflective Glitch Pattern,"Apply reflective glitch pattern to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
43,Reflective Cyber Grid,"Apply reflective cyber grid to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
44,Reflective Flame Print,"Apply reflective flame print to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
45,Reflective Checkerboard,"Apply reflective checkerboard to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
46,Reflective Barbed-Scroll Motif,"Apply reflective barbed-scroll motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
47,Reflective Celestial Motif,"Apply reflective celestial motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
48,Reflective Gothic Rose Motif,"Apply reflective gothic rose motif to the selected garment with controlled scale, aligned seams, continuous motif placement, and no texture swimming.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Patterns Prints | Alternative and Cyber Patterns,1.0,False
