index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Boudoir Nightwear & Clubwear/Boudoir Robe and Slip Set,"Adult woman wearing a boudoir robe and slip set, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
2,Female/Boudoir Nightwear & Clubwear/Silk Boudoir Robe,"Adult woman wearing a silk boudoir robe, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
3,Female/Boudoir Nightwear & Clubwear/Lace Teddy and Robe Set,"Adult woman wearing a lace teddy and robe set, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
4,Female/Boudoir Nightwear & Clubwear/Satin Chemise,"Adult woman wearing a satin chemise, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
5,Female/Boudoir Nightwear & Clubwear/Lace-trim Chemise,"Adult woman wearing a lace-trim chemise, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
6,Female/Boudoir Nightwear & Clubwear/Babydoll and Brief Set,"Adult woman wearing a babydoll and brief set, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
7,Female/Boudoir Nightwear & Clubwear/Sheer Robe With Opaque Styling,"Adult woman wearing a sheer robe with opaque styling, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
8,Female/Boudoir Nightwear & Clubwear/Boudoir Teddy,"Adult woman wearing a boudoir teddy, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
9,Female/Boudoir Nightwear & Clubwear/Boudoir Corset and Robe Set,"Adult woman wearing a boudoir corset and robe set, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
10,Female/Boudoir Nightwear & Clubwear/Clubwear Bodycon Dress,"Adult woman wearing a clubwear bodycon dress, with unbranded premium styling, coordinated fashion detail, and a flattering but natural fit.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual act, fetish pose, degraded anatomy, extra limbs, broken seams, low detail, blur",Clothing/Female/Boudoir Nightwear & Clubwear,1,False
