index,name,prompt,negative_prompt,category,weight,favorite
1,Stand Still,The subject stands still in the established pose with natural breathing and no extra gestures.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
2,Walk Forward,"The subject walks forward at a natural even pace, preserving direction, outfit, and foot contact.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
3,Walk Away,The subject walks away on the established path at an even pace without turning unexpectedly.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
4,Side Walk,The subject walks laterally along the specified direction while the camera maintains a parallel view.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
5,Turn to Camera,"The subject makes one smooth controlled turn to face the camera, then settles and holds.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
6,Look Over Shoulder,The subject slowly looks over the specified shoulder while the torso and outfit remain stable.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
7,Sit Down,"The subject sits once with clear weight transfer and natural contact, then settles into the final seated pose.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
8,Stand Up,"The subject stands once with natural weight transfer and stable body mechanics, then holds.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
9,Simple Hand Gesture,"The subject performs one small specified hand gesture with visible natural fingers, then returns to stillness.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
10,Slow Pose Change,"The subject changes from the starting pose to one new pose slowly, then holds without further morphing.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
11,Orbit — Subject Still,"The subject remains still while the camera performs the specified orbit; preserve gaze, pose, and ground contact.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
12,Drone Observation,The subject continues one simple natural action while the drone observes from a stable broad path.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
13,Macro Product Study,Study one product or material detail with slow controlled camera motion and no unrelated subject action.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
14,Raise One Hand,"The subject raises the specified hand once to the named position, holds briefly, then remains stable.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
15,Adjust Jacket,"The subject makes one small natural jacket adjustment, preserving garment construction and accessories.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
16,Adjust Hair Once,"The subject makes one brief hair adjustment without changing the hairstyle, length, color, or parting.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
17,Pick Up Object,The subject picks up the named object once with the specified hand and preserves the grip afterward.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
18,Place Object Down,"The subject places the held object at the specified location once, then releases it naturally.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
19,Yoga Hold,"The subject enters or maintains one named yoga pose with stable anatomy, balanced contact, and slow breathing.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
20,Sports Ready Stance,The subject settles into one stable ready stance with correct equipment and clear ground contact.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
21,Single Athletic Action,"Perform one named athletic action once with clear mechanics, then return to a stable finish.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
22,Dialogue Delivery,"The subject delivers the supplied line naturally with precise lip sync, restrained gesture, and stable framing.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
23,Choreography Transfer,"Follow the reference choreography, timing, pose order, direction, and camera behavior without inventing steps.","unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
24,Natural Breathing,Keep the subject nearly still with subtle natural breathing only; preserve pose and expression.,"unmotivated motion, action reset, extra actions, rushed movement, unstable anatomy, sliding feet, warped hands, camera jitter, text, watermark",H3 | Motion & Actions,1.0,False
