name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Extreme Detail/Extreme Detail Camera — three-quarter-length crop, 50mm standard lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; conversational camera distance; three-quarter-length crop; 50mm standard lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0002 | Perspective/Extreme Detail/Extreme Detail Camera — wide environmental framing, 35mm environmental lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; conversational camera distance; wide environmental framing; 35mm environmental lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0003 | Perspective/Extreme Detail/Extreme Detail Camera — full-figure framing, 70mm short-telephoto lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; close camera distance; full-figure framing; 70mm short-telephoto lens; rule-of-thirds composition; deep focus across the visible environment; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0004 | Perspective/Extreme Detail/Extreme Detail Camera — cinematic landscape framing, 135mm telephoto lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; moderate camera distance; cinematic landscape framing; 135mm telephoto lens; symmetrical visual balance; deep focus across the visible environment; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0005 | Perspective/Extreme Detail/Extreme Detail Camera — three-quarter-length crop, 85mm portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; wide scene distance; three-quarter-length crop; 85mm portrait lens; asymmetrical cinematic balance; clean edge separation around the subject; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0006 | Perspective/Extreme Detail/Extreme Detail Camera — head-and-shoulders crop, 85mm portrait lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; close camera distance; head-and-shoulders crop; 85mm portrait lens; slightly off-centre editorial composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0007 | Perspective/Extreme Detail/Extreme Detail Camera — vertical editorial framing, 65mm short-portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; close camera distance; vertical editorial framing; 65mm short-portrait lens; asymmetrical cinematic balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0008 | Perspective/Extreme Detail/Extreme Detail Camera — medium crop, 70mm short-telephoto lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; wide scene distance; medium crop; 70mm short-telephoto lens; minimal uncluttered composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0009 | Perspective/Extreme Detail/Extreme Detail Camera — full-figure framing, 135mm telephoto lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; camera distance balanced between subject and environment; full-figure framing; 135mm telephoto lens; minimal uncluttered composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
"0010 | Perspective/Extreme Detail/Extreme Detail Camera — cinematic landscape framing, 85mm portrait lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera tightly isolating one existing visual detail already specified elsewhere, with surrounding context reduced; environmental portrait distance; cinematic landscape framing; 85mm portrait lens; strong leading lines toward the subject; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","wide scene, multiple competing focal points, invented new detail, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Extreme Detail,1,False
