name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — tight portrait crop, 135mm telephoto lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; conversational camera distance; tight portrait crop; 135mm telephoto lens; symmetrical visual balance; deep focus across the visible environment; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0002 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — balanced square framing, 40mm natural-perspective lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; wide scene distance; balanced square framing; 40mm natural-perspective lens; asymmetrical cinematic balance; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0003 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — wide environmental framing, 24mm wide-angle lens with controlled edge distortion, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; wide scene distance; wide environmental framing; 24mm wide-angle lens with controlled edge distortion; symmetrical visual balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0004 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — waist-up crop, 28mm moderately wide lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; camera far enough back to preserve spatial context; waist-up crop; 28mm moderately wide lens; rule-of-thirds composition; deep focus across the visible environment; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0005 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — cinematic landscape framing, 50mm standard lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; intimate portrait distance; cinematic landscape framing; 50mm standard lens; slightly off-centre editorial composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0006 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — tight portrait crop, 35mm environmental lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; environmental portrait distance; tight portrait crop; 35mm environmental lens; centred composition; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0007 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — vertical editorial framing, 35mm environmental lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; full-figure camera distance; vertical editorial framing; 35mm environmental lens; slightly off-centre editorial composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0008 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — cinematic landscape framing, 50mm standard lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; camera distance balanced between subject and environment; cinematic landscape framing; 50mm standard lens; symmetrical visual balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0009 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — wide environmental framing, 135mm telephoto lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; close camera distance; wide environmental framing; 135mm telephoto lens; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
"0010 | Perspective/Symmetrical Centre/Symmetrical Centre Camera — head-and-shoulders crop, 50mm standard lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera aligned to the central axis of the scene with balanced left-right geometry; intimate portrait distance; head-and-shoulders crop; 50mm standard lens; centred composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","off-axis framing, accidental tilt, uneven visual balance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Symmetrical Centre,1,False
