index,name,prompt,negative_prompt,category,weight,favorite
1,"Begin On The Footwear, Tilt Up Slowly To The Complete Coordinated Look; Style <Subject 1> In Velvet Evening Suit with Sculptural Earrings and Smoky Eye Makeup","Begin on the footwear, tilt up slowly to the complete coordinated look; style <Subject 1> in velvet evening suit with sculptural earrings and smoky eye makeup. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
2,"Begin On The Footwear, Tilt Up Slowly To The Complete Coordinated Look; Style <Subject 1> In Lace-Trim Boudoir Robe Over Opaque Sleepwear with A Polished Updo","Begin on the footwear, tilt up slowly to the complete coordinated look; style <Subject 1> in lace-trim boudoir robe over opaque sleepwear with a polished updo. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
3,"Begin On The Footwear, Tilt Up Slowly To The Complete Coordinated Look; Style <Subject 1> In Punk Tailored Look with Combat Boots, Chain Belt, and Textured Shag","Begin on the footwear, tilt up slowly to the complete coordinated look; style <Subject 1> in punk tailored look with combat boots, chain belt, and textured shag. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
4,"Begin On The Footwear, Tilt Up Slowly To The Complete Coordinated Look; Style <Subject 1> In Pastel Fashion Look with Pearl Clips and No-Makeup Makeup","Begin on the footwear, tilt up slowly to the complete coordinated look; style <Subject 1> in pastel fashion look with pearl clips and no-makeup makeup. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
5,"Open On Hair and Makeup Details, Then Widen To A Medium Fashion Portrait; Style <Subject 1> In Minimal Monochrome Tailoring with Sleek Hair and Natural Makeup","Open on hair and makeup details, then widen to a medium fashion portrait; style <Subject 1> in minimal monochrome tailoring with sleek hair and natural makeup. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
6,"Open On Hair and Makeup Details, Then Widen To A Medium Fashion Portrait; Style <Subject 1> In Romantic Satin Evening Dress with Pearl Jewelry and Soft Waves","Open on hair and makeup details, then widen to a medium fashion portrait; style <Subject 1> in romantic satin evening dress with pearl jewelry and soft waves. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
7,"Open On Hair and Makeup Details, Then Widen To A Medium Fashion Portrait; Style <Subject 1> In Modern Black Clubwear with Silver Accents and A Structured Bob","Open on hair and makeup details, then widen to a medium fashion portrait; style <Subject 1> in modern black clubwear with silver accents and a structured bob. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
8,"Open On Hair and Makeup Details, Then Widen To A Medium Fashion Portrait; Style <Subject 1> In Cyber-Goth Fashion with Reflective Trim and A Stable High Ponytail","Open on hair and makeup details, then widen to a medium fashion portrait; style <Subject 1> in cyber-goth fashion with reflective trim and a stable high ponytail. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
9,"Open On Hair and Makeup Details, Then Widen To A Medium Fashion Portrait; Style <Subject 1> In Resort Swimwear with A Linen Cover-Up and Beach Waves","Open on hair and makeup details, then widen to a medium fashion portrait; style <Subject 1> in resort swimwear with a linen cover-up and beach waves. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
10,"Open On Hair and Makeup Details, Then Widen To A Medium Fashion Portrait; Style <Subject 1> In Soft Bridal Fashion with A Low Chignon and Luminous Makeup","Open on hair and makeup details, then widen to a medium fashion portrait; style <Subject 1> in soft bridal fashion with a low chignon and luminous makeup. Preserve one character identity, one coordinated outfit, clear chronology, stable anatomy, and a clean final handoff frame for the next H3 scene.","flicker, temporal inconsistency, outfit morphing, changing color, changing hairstyle, changing accessories, loose parts teleporting, unstable anatomy, extra limbs, duplicated hands, warped fingers, identity drift, camera jitter, text, watermark",H3 Director Presets | Quick Combos,1.0,False
