name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — medium portrait framing, camera at knee height, 65mm portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera at knee height, camera at moderate environmental distance, medium portrait framing, 65mm portrait perspective, environment framing the subject naturally, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0002 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — vertical editorial framing, camera close to ground level, 85mm portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera close to ground level, camera positioned to include foreground depth, vertical editorial framing, 85mm portrait perspective, minimal uncluttered composition, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0003 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — full-body framing, camera aligned with the subject upper back, 65mm portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera aligned with the subject upper back, camera at conversational distance, full-body framing, 65mm portrait perspective, strong leading lines directing attention to the subject, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0004 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — three-quarter body framing, camera slightly above eye level, 24mm wide-angle perspective with controlled distortion","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera slightly above eye level, camera positioned to include foreground depth, three-quarter body framing, 24mm wide-angle perspective with controlled distortion, strong leading lines directing attention to the subject, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0005 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — balanced square-format framing, camera close to ground level, 105mm compressed portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera close to ground level, camera positioned to include foreground depth, balanced square-format framing, 105mm compressed portrait perspective, asymmetrical cinematic balance, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0006 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — waist-up framing, camera at eye level, 85mm portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera at eye level, camera at moderate environmental distance, waist-up framing, 85mm portrait perspective, centred composition, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0007 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — head-and-shoulders framing, camera at shoulder height, 85mm portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera at shoulder height, camera close enough to prioritise garment texture, head-and-shoulders framing, 85mm portrait perspective, clean negative space around the subject, moderate depth of field preserving environmental context, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0008 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — balanced square-format framing, camera close to ground level, 65mm portrait perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera close to ground level, camera at moderate environmental distance, balanced square-format framing, 65mm portrait perspective, slightly off-centre editorial composition, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0009 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — balanced square-format framing, camera elevated above the subject, 135mm long-lens perspective","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera elevated above the subject, camera close to the subject, balanced square-format framing, 135mm long-lens perspective, minimal uncluttered composition, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
"0010 | Perspective/Over-the-Shoulder/Over-the-Shoulder View — waist-up framing, camera at knee height, 24mm wide-angle perspective with controlled distortion","camera positioned behind one shoulder of the primary subject, shoulder and upper back forming the near foreground, subject head turned only slightly, partial side profile visible, gaze directed into the scene rather than toward the viewer, camera at knee height, camera at intimate portrait distance, waist-up framing, 24mm wide-angle perspective with controlled distortion, clean negative space around the subject, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","full frontal portrait, direct eye contact, both shoulders facing camera, missing foreground shoulder, extreme head rotation, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Over-the-Shoulder,1,False
