name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — head-and-shoulders crop, 70mm short-telephoto lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; moderate camera distance; head-and-shoulders crop; 70mm short-telephoto lens; rule-of-thirds composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0002 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — three-quarter-length crop, 135mm telephoto lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; environmental portrait distance; three-quarter-length crop; 135mm telephoto lens; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0003 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — cinematic landscape framing, 50mm standard lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; moderate camera distance; cinematic landscape framing; 50mm standard lens; minimal uncluttered composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0004 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — medium crop, 105mm compressed portrait lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; conversational camera distance; medium crop; 105mm compressed portrait lens; strong leading lines toward the subject; deep focus across the visible environment; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0005 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — balanced square framing, 50mm standard lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; conversational camera distance; balanced square framing; 50mm standard lens; clean negative space around the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0006 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — three-quarter-length crop, 70mm short-telephoto lens, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; conversational camera distance; three-quarter-length crop; 70mm short-telephoto lens; clean negative space around the subject; foreground softly separated from the subject; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0007 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — wide environmental framing, 70mm short-telephoto lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; camera far enough back to preserve spatial context; wide environmental framing; 70mm short-telephoto lens; slightly off-centre editorial composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0008 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — full-figure framing, 85mm portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; camera far enough back to preserve spatial context; full-figure framing; 85mm portrait lens; foreground-to-background depth layering; focus weighted toward clothing and surface texture; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0009 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — vertical editorial framing, 35mm environmental lens, symmetrical visual balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; camera far enough back to preserve spatial context; vertical editorial framing; 35mm environmental lens; symmetrical visual balance; focus locked on the primary subject; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
"0010 | Perspective/Rule of Thirds Left/Rule-of-Thirds Left Camera — tight portrait crop, 65mm short-portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera composition placing the primary subject along the left third of the frame while preserving open scene space; moderate camera distance; tight portrait crop; 65mm short-portrait lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","dead-centre placement, subject clipped by left edge, random imbalance, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Rule of Thirds Left,1,False
