name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — three-quarter body framing, camera at chest height, 70mm short-telephoto perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera at chest height, camera several metres from the subject, three-quarter body framing, 70mm short-telephoto perspective, rule-of-thirds placement, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0002 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — tight portrait framing, camera at eye level, 135mm long-lens perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera at eye level, camera close to the subject, tight portrait framing, 135mm long-lens perspective, symmetrical visual balance, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0003 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — three-quarter body framing, camera slightly above eye level, 85mm portrait perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera slightly above eye level, camera positioned to include foreground depth, three-quarter body framing, 85mm portrait perspective, strong leading lines directing attention to the subject, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0004 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — head-and-shoulders framing, camera at chest height, 135mm long-lens perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera at chest height, camera far enough back to preserve the full silhouette, head-and-shoulders framing, 135mm long-lens perspective, symmetrical visual balance, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0005 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — tight portrait framing, camera at chest height, 70mm short-telephoto perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera at chest height, camera at intimate portrait distance, tight portrait framing, 70mm short-telephoto perspective, environment framing the subject naturally, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0006 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — medium portrait framing, camera slightly below eye level, 24mm wide-angle perspective with controlled distortion","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera slightly below eye level, camera close to the subject, medium portrait framing, 24mm wide-angle perspective with controlled distortion, foreground-to-background depth layering, clean edge separation around the subject, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0007 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — balanced square-format framing, camera at knee height, 135mm long-lens perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera at knee height, camera several metres from the subject, balanced square-format framing, 135mm long-lens perspective, rule-of-thirds placement, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0008 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — balanced square-format framing, camera slightly below eye level, 105mm compressed portrait perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera slightly below eye level, camera at moderate environmental distance, balanced square-format framing, 105mm compressed portrait perspective, environment framing the subject naturally, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0009 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — wide environmental framing, camera aligned with the subject upper back, 24mm wide-angle perspective with controlled distortion","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera aligned with the subject upper back, camera at moderate environmental distance, wide environmental framing, 24mm wide-angle perspective with controlled distortion, environment framing the subject naturally, subject sharply defined against a softly separated background, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
"0010 | Perspective/Extreme Close-Up Detail/Extreme Close-Up Detail — tight portrait framing, camera at shoulder height, 40mm natural perspective","camera tightly isolating one deliberate detail such as an eye, hand, fabric weave, jewellery, mechanical component or surface texture, surrounding context reduced but still coherent, camera at shoulder height, camera at intimate portrait distance, tight portrait framing, 40mm natural perspective, environment framing the subject naturally, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","wide establishing shot, unrelated full scene, multiple competing focal points, unintentional cropping, ambiguous detail, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Extreme Close-Up Detail,1,False
