name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — three-quarter-length crop, 18mm ultra-wide lens with controlled distortion, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; camera far enough back to preserve spatial context; three-quarter-length crop; 18mm ultra-wide lens with controlled distortion; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0002 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — full-figure framing, 50mm standard lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; close camera distance; full-figure framing; 50mm standard lens; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0003 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — three-quarter-length crop, 105mm compressed portrait lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; environmental portrait distance; three-quarter-length crop; 105mm compressed portrait lens; centred composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0004 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — head-and-shoulders crop, 85mm portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; environmental portrait distance; head-and-shoulders crop; 85mm portrait lens; environmental elements framing the subject; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0005 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — vertical editorial framing, 18mm ultra-wide lens with controlled distortion, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; intimate portrait distance; vertical editorial framing; 18mm ultra-wide lens with controlled distortion; rule-of-thirds composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0006 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — medium crop, 65mm short-portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; environmental portrait distance; medium crop; 65mm short-portrait lens; environmental elements framing the subject; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0007 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — head-and-shoulders crop, 50mm standard lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; wide scene distance; head-and-shoulders crop; 50mm standard lens; rule-of-thirds composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0008 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — balanced square framing, 85mm portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; conversational camera distance; balanced square framing; 85mm portrait lens; environmental elements framing the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0009 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — vertical editorial framing, 28mm moderately wide lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; camera distance balanced between subject and environment; vertical editorial framing; 28mm moderately wide lens; symmetrical visual balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
"0010 | Perspective/Fisheye Immersive/Fisheye Immersive Camera — tight crop, 135mm telephoto lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera using a controlled fisheye field of view with curved peripheral lines and strong environmental immersion, subject kept near centre to protect anatomy; camera close enough to retain material texture; tight crop; 135mm telephoto lens; strong leading lines toward the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","uncontrolled facial stretching, edge-warped limbs, telephoto compression, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Fisheye Immersive,1,False
