name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — waist-up crop, 50mm standard lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; conversational camera distance; waist-up crop; 50mm standard lens; slightly off-centre editorial composition; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0002 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — three-quarter-length crop, 24mm wide-angle lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; moderate camera distance; three-quarter-length crop; 24mm wide-angle lens; centred composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0003 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — cinematic landscape framing, 28mm moderately wide lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; close camera distance; cinematic landscape framing; 28mm moderately wide lens; strong leading lines toward the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0004 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — medium crop, 50mm standard lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; close camera distance; medium crop; 50mm standard lens; symmetrical visual balance; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0005 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — head-and-shoulders crop, 85mm portrait lens, strong leading lines toward the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; camera far enough back to preserve spatial context; head-and-shoulders crop; 85mm portrait lens; strong leading lines toward the subject; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0006 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — head-and-shoulders crop, 105mm compressed portrait lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; intimate portrait distance; head-and-shoulders crop; 105mm compressed portrait lens; environmental elements framing the subject; deep focus across the visible environment; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0007 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — head-and-shoulders crop, 85mm portrait lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; close camera distance; head-and-shoulders crop; 85mm portrait lens; foreground-to-background depth layering; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0008 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — three-quarter-length crop, 24mm wide-angle lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; conversational camera distance; three-quarter-length crop; 24mm wide-angle lens; slightly off-centre editorial composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0009 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — full-figure framing, 35mm environmental lens, slightly off-centre editorial composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; environmental portrait distance; full-figure framing; 35mm environmental lens; slightly off-centre editorial composition; clean edge separation around the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0010 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — wide environmental framing, 50mm standard lens, asymmetrical cinematic balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; conversational camera distance; wide environmental framing; 50mm standard lens; asymmetrical cinematic balance; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0011 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — balanced square framing, 28mm moderately wide lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; intimate portrait distance; balanced square framing; 28mm moderately wide lens; rule-of-thirds composition; focus locked on the primary subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0012 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — cinematic landscape framing, 65mm short-portrait lens, symmetrical visual balance","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; wide scene distance; cinematic landscape framing; 65mm short-portrait lens; symmetrical visual balance; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
"0013 | Perspective/Aerial Drone Wide/Aerial Drone Wide Camera — medium crop, 50mm standard lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned high above the environment with a broad aerial field of view and realistic large-scale spatial context; moderate camera distance; medium crop; 50mm standard lens; foreground-to-background depth layering; foreground softly separated from the subject; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","ground-level view, close portrait, miniature toy distortion, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Aerial Drone Wide,1,False
