index,name,prompt,negative_prompt,category,weight,favorite
1,Goth Platform Ankle Boots,"Dress <Subject 1> in goth platform ankle boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
2,Goth Platform Knee Boots,"Dress <Subject 1> in goth platform knee boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
3,Goth Platform Thigh-High Boots,"Dress <Subject 1> in goth platform thigh-high boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
4,Goth Platform Sneakers,"Dress <Subject 1> in goth platform sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
5,Cyber Platform Ankle Boots,"Dress <Subject 1> in cyber platform ankle boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
6,Cyber Platform Knee Boots,"Dress <Subject 1> in cyber platform knee boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
7,Cyber Platform Thigh-High Boots,"Dress <Subject 1> in cyber platform thigh-high boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
8,Cyber Platform Sneakers,"Dress <Subject 1> in cyber platform sneakers, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
9,Industrial Buckle Ankle Boots,"Dress <Subject 1> in industrial buckle ankle boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
10,Industrial Buckle Knee Boots,"Dress <Subject 1> in industrial buckle knee boots, with matched left and right construction, believable materials, secure fit, and stable sole and heel geometry.","low quality, blurry, malformed feet, extra toes, fused footwear, mismatched shoes, warped heels, broken soles, floating shoes, changing footwear, text, watermark",Accessories Footwear | Goth Cyber Footwear,1.0,False
