index,name,prompt,negative_prompt,category,weight,favorite
1,Lace Teddy,"Dress <Subject 1> in lace teddy, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
2,Satin Teddy,"Dress <Subject 1> in satin teddy, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
3,High-Neck Teddy,"Dress <Subject 1> in high-neck teddy, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
4,Long-Sleeve Teddy,"Dress <Subject 1> in long-sleeve teddy, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
5,Mesh-Panel Teddy,"Dress <Subject 1> in mesh-panel teddy, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
6,Fashion Bodysuit,"Dress <Subject 1> in fashion bodysuit, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
7,Longline Corset,"Dress <Subject 1> in longline corset, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
8,Underbust Corset,"Dress <Subject 1> in underbust corset, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
9,Overbust Corset,"Dress <Subject 1> in overbust corset, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
10,Corset Top,"Dress <Subject 1> in corset top, with refined fashion styling, believable garment construction, clean separation of layers, and a stable consistent outfit across frames. Use opaque strategic lining and fashion-editorial presentation.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Underwear and Lingerie | Bodywear and Corsetry,1.0,False
