name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Exact Left Profile/Exact Left Profile Camera — head-and-shoulders crop, 85mm portrait lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; moderate camera distance; head-and-shoulders crop; 85mm portrait lens; strong leading lines toward the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0002 | Perspective/Exact Left Profile/Exact Left Profile Camera — three-quarter-length crop, 35mm environmental lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; full-figure camera distance; three-quarter-length crop; 35mm environmental lens; slightly off-centre editorial composition; focus locked on the primary subject; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0003 | Perspective/Exact Left Profile/Exact Left Profile Camera — three-quarter-length crop, 65mm short-portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; moderate camera distance; three-quarter-length crop; 65mm short-portrait lens; minimal uncluttered composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0004 | Perspective/Exact Left Profile/Exact Left Profile Camera — wide environmental framing, 70mm short-telephoto lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; camera close enough to retain material texture; wide environmental framing; 70mm short-telephoto lens; slightly off-centre editorial composition; deep focus across the visible environment; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0005 | Perspective/Exact Left Profile/Exact Left Profile Camera — balanced square framing, 65mm short-portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; environmental portrait distance; balanced square framing; 65mm short-portrait lens; minimal uncluttered composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0006 | Perspective/Exact Left Profile/Exact Left Profile Camera — waist-up crop, 65mm short-portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; camera close enough to retain material texture; waist-up crop; 65mm short-portrait lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0007 | Perspective/Exact Left Profile/Exact Left Profile Camera — cinematic landscape framing, 85mm portrait lens, strong leading lines toward the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; intimate portrait distance; cinematic landscape framing; 85mm portrait lens; strong leading lines toward the subject; focus locked on the primary subject; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0008 | Perspective/Exact Left Profile/Exact Left Profile Camera — balanced square framing, 70mm short-telephoto lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; conversational camera distance; balanced square framing; 70mm short-telephoto lens; minimal uncluttered composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0009 | Perspective/Exact Left Profile/Exact Left Profile Camera — medium crop, 135mm telephoto lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; wide scene distance; medium crop; 135mm telephoto lens; centred composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
"0010 | Perspective/Exact Left Profile/Exact Left Profile Camera — medium crop, 28mm moderately wide lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned exactly on the subject's left side at a ninety-degree viewing angle; camera far enough back to preserve spatial context; medium crop; 28mm moderately wide lens; foreground-to-background depth layering; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","right-profile camera placement, frontal camera placement, rear camera placement, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Exact Left Profile,1,False
