name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — spine vertical,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0002 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — chin slightly lowered,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; chin slightly lowered, neck long; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0003 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — chin slightly raised,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; chin slightly raised, neck long; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0004 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — head tilted slightly left,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; head tilted slightly left; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0005 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — head tilted slightly right,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; head tilted slightly right; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0006 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — head rotated slightly left,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0007 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — head rotated slightly right,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0008 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — ribcage rotated slightly left,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; ribcage rotated slightly left, hips facing forward; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0009 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — ribcage rotated slightly right,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; ribcage rotated slightly right, hips facing forward; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
0010 | Pose/Squatting/Deep/Deep Squat — feet shoulder-width apart and flat — torso inclined slightly forward with a long spine,"feet shoulder-width apart and flat, hips lowered below knee height, knees opened outward, torso upright; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","knees straight, pelvis high, seated posture, lying posture, heels floating without support, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Squatting/Deep,1,False
