name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — spine vertical,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0002 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — chin slightly lowered,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; chin slightly lowered, neck long; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0003 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — chin slightly raised,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; chin slightly raised, neck long; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0004 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — head tilted slightly left,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; head tilted slightly left; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0005 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — head tilted slightly right,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; head tilted slightly right; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0006 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — head rotated slightly left,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0007 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — head rotated slightly right,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0008 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — ribcage rotated slightly left,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; ribcage rotated slightly left, hips facing forward; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0009 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — ribcage rotated slightly right,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; ribcage rotated slightly right, hips facing forward; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
0010 | Pose/Crouching/Compact/Compact Crouch — both feet flat and close together — torso inclined slightly forward with a long spine,"both feet flat and close together, both knees deeply bent, pelvis lowered near the heels, torso inclined forward; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","upright standing posture, seated posture, lying posture, knees straight, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Crouching/Compact,1,False
