index,name,prompt,negative_prompt,category,weight,favorite
1,Slow Push In,Use a slow cinematic push-in toward <Subject 1> with smooth stable motion.,,Camera,1,
2,Slow Pull Out,Use a slow cinematic pull-out from <Subject 1> with smooth stable motion.,,Camera,1,
3,360 Orbit,Use a slow smooth continuous 360-degree orbit around <Subject 1> and return to the starting angle.,,Camera,1,
4,Arc Left,Use a smooth arc move to the left around <Subject 1> while keeping the subject centered.,,Camera,1,
5,Arc Right,Use a smooth arc move to the right around <Subject 1> while keeping the subject centered.,,Camera,1,
6,Tilt Up,Use a slow upward tilt from the lower body toward the face while keeping <Subject 1> as the focus.,,Camera,1,
7,Tilt Down,Use a slow downward tilt from the face toward the lower body while keeping <Subject 1> as the focus.,,Camera,1,
8,Tracking Forward,Use a slow forward tracking move that follows <Subject 1> smoothly.,,Camera,1,
9,Tracking Backward,Use a slow backward tracking move that maintains clear framing of <Subject 1>.,,Camera,1,
10,Handheld Subtle,Use restrained handheld micro-movement for a natural cinematic feel without instability.,,Camera,1,
11,Static Locked Camera,"Use a static locked camera with no drift, no shake, and no reframing.",,Camera,1,
12,Pedestal Up,Use a slow pedestal-up move while maintaining focus on <Subject 1>.,,Camera,1,
13,Pedestal Down,Use a slow pedestal-down move while maintaining focus on <Subject 1>.,,Camera,1,
14,Overhead Descent,Begin above <Subject 1> and descend smoothly into a closer readable framing.,,Camera,1,
15,Low-Angle Rise,Start at a low angle and rise smoothly while keeping <Subject 1> centered.,,Camera,1,
