name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — head level,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; head level, chin neutral, gaze fixed forward; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0002 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — chin slightly lowered,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; chin slightly lowered, gaze fixed downward; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0003 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — chin slightly raised,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; chin slightly raised, gaze fixed upward; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0004 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — head rotated slightly left,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; head rotated slightly left, balance maintained; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0005 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — head rotated slightly right,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; head rotated slightly right, balance maintained; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0006 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — arms held symmetrically for balance,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; arms held symmetrically for balance; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0007 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — arms held asymmetrically for balance,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; arms held asymmetrically for balance; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0008 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — shoulders level,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; shoulders level, ribcage centred over the supporting limb; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0009 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — left shoulder slightly higher,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; left shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
0010 | Pose/Standing/One-Leg Balance/One-Leg Balance — weight supported entirely by the left foot — right shoulder slightly higher,"weight supported entirely by the left foot, right knee bent with the right foot held beside the left ankle; right shoulder slightly higher, pelvis counterbalanced; clear joint alignment; distinct limb separation","both feet bearing weight, seated posture, kneeling posture, lying posture, unsupported floating limb, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Standing/One-Leg Balance,1,False
