index,name,prompt,negative_prompt,category,weight,favorite
1,Full Coverage,"Construct the selected garment with full coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
2,Moderate Coverage,"Construct the selected garment with moderate coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
3,Minimal Fashion Coverage with Opaque Lining,"Construct the selected garment with minimal fashion coverage with opaque lining, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
4,High-Waist Coverage,"Construct the selected garment with high-waist coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
5,Mid-Rise Coverage,"Construct the selected garment with mid-rise coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
6,Low-Rise Coverage,"Construct the selected garment with low-rise coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
7,High-Leg Cut,"Construct the selected garment with high-leg cut, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
8,Low-Leg Cut,"Construct the selected garment with low-leg cut, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
9,Cheeky Back Coverage,"Construct the selected garment with cheeky back coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
10,Brazilian Back Coverage,"Construct the selected garment with brazilian back coverage, keeping the feature symmetrical, functional, securely attached, and consistent across frames.","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, duplicated garments, merged clothing, broken fasteners, incorrect seams, random outfit changes, inconsistent material, unstable fit",Coverage Cuts | Coverage,1.0,False
