index,name,prompt,negative_prompt,category,weight,favorite
1,Safe No Music,No music. Keep only the requested dialogue or natural ambience.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
2,Safe No Dialogue,No dialogue or narration. Keep only music and environmental sound.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
3,Safe Studio Tone,Quiet steady studio room tone. No voices or hum.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
4,Safe City Ambience,Soft city ambience below the main action. No distinct background speech.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
5,Safe Forest Ambience,Soft forest ambience with light leaves and distant birds.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
6,Safe Beach Ambience,Gentle surf and light coastal wind at steady level.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
7,Safe Rain Ambience,Soft consistent rain matched to the visible weather.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
8,Safe Footstep Sync,Match each visible footfall to one natural footstep sound.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
9,Safe Fabric Sound,Use subtle fabric sound only when the garment visibly moves.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
10,Safe Dialogue Sync,Keep supplied dialogue clear and synchronized to the speaker.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
11,Safe Lip Sync,Match mouth movement to the supplied voice. Do not add words.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
12,Safe Beat Sync,Align one reveal or action to one clear beat.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
13,Safe Soft Cadence,End the music softly during the final stable hold.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
14,Safe Continuous Audio,Keep the same audio bed through the clip with no restart.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
15,Safe Audio Handoff,End with a clean sustained ambience or music tail for continuation.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
16,Safe Near Silence,Use near silence with only faint natural room or environmental tone.,"clipping, distortion, abrupt volume jump, unrelated music, unwanted dialogue, unwanted narration, desynchronized sound, text, watermark",H3 | H3-Safe | Audio,1.0,False
