index,name,prompt,negative_prompt,category,weight,favorite
1,Hold 1 Second,Hold the established state clearly for 1 full second with stable anatomy and camera.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
2,Hold 2 Seconds,"Hold the established state clearly for 2 full seconds with stable identity, pose, and framing.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
3,Hold 3 Seconds,Hold the established state clearly for 3 full seconds without drift or added action.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
4,Transition Then Hold,"Complete the transition once, establish the result, then hold it clearly.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
5,Final 1 Second Stable,Keep the final 1 second fully stable and readable for continuation.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
6,Final 2 Seconds Stable,Keep the final 2 seconds fully stable with reduced motion and no camera drift.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
7,Slow Choreography Pacing,Perform the choreography at a slow readable pace with distinct pose progression and no skipped beats.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
8,Establish — Act — Settle,"Establish the starting state, perform one main action, then settle into a stable ending.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
9,One Action per Beat,Assign one clear action to each named beat; do not overlap or add extra movements.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
10,Pause Before Action,"Hold the starting state briefly, then begin the action once on the specified cue.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
11,Pause After Action,"Complete the action, pause clearly, and preserve the final state.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
12,Even Tempo,Maintain an even natural tempo through the action with no sudden speed change.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
13,Slow Start and Finish,"Begin gently, perform the main motion at readable speed, and decelerate into the final hold.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
14,Midpoint Reveal,"Complete the planned reveal near the midpoint, then spend the remaining time holding the result.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
15,Final-Frame Priority,Prioritize a clean final frame over squeezing in extra movement at the end.,"identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
16,Chronological Timing,"Describe and perform every event strictly in the order it occurs: start, action, result, stable ending.","identity drift, anatomy drift, outfit morphing, hair morphing, pose reset, prop teleporting, left-right reversal, camera jitter, flicker, text, watermark",H3 | Timing,1.0,False
