name,prompt,negative_prompt,category,weight,favorite
0001 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — spine vertical,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; spine vertical, shoulders level, chin neutral; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0002 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — spine vertical,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; spine vertical, chin slightly lowered; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0003 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — spine vertical,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; spine vertical, chin slightly raised; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0004 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — head tilted slightly left,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; head tilted slightly left, shoulders relaxed; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0005 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — head tilted slightly right,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; head tilted slightly right, shoulders relaxed; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0006 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — head rotated slightly left,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; head rotated slightly left, pelvis stable; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0007 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — head rotated slightly right,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; head rotated slightly right, pelvis stable; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0008 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — ribcage rotated slightly left,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; ribcage rotated slightly left, pelvis facing forward; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0009 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — ribcage rotated slightly right,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; ribcage rotated slightly right, pelvis facing forward; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
0010 | Pose/Reclining/Propped/Reclining Propped — pelvis and both hands on the support plane — torso inclined slightly forward with a long spine,"pelvis and both hands on the support plane, arms behind the torso, elbows straight, torso inclined backward, both legs extended; torso inclined slightly forward with a long spine; clear joint alignment; distinct limb separation","upright vertical torso, lying flat, standing posture, kneeling posture, unsupported backward balance, different pose, altered limb placement, extra limbs, missing limbs, fused limbs, duplicated hands, duplicated feet, twisted joints, dislocated shoulders, broken spine, impossible balance, contradictory weight distribution",Pose/Reclining/Propped,1,False
