name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Through Doorway/Doorway-Framed Camera — balanced square framing, 85mm portrait lens, minimal uncluttered composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; close camera distance; balanced square framing; 85mm portrait lens; minimal uncluttered composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0002 | Perspective/Through Doorway/Doorway-Framed Camera — tight crop, 40mm natural-perspective lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; moderate camera distance; tight crop; 40mm natural-perspective lens; environmental elements framing the subject; focus weighted toward rear silhouette when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0003 | Perspective/Through Doorway/Doorway-Framed Camera — three-quarter-length crop, 85mm portrait lens, rule-of-thirds composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; intimate portrait distance; three-quarter-length crop; 85mm portrait lens; rule-of-thirds composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0004 | Perspective/Through Doorway/Doorway-Framed Camera — medium crop, 28mm moderately wide lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; wide scene distance; medium crop; 28mm moderately wide lens; centred composition; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0005 | Perspective/Through Doorway/Doorway-Framed Camera — balanced square framing, 50mm standard lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; close camera distance; balanced square framing; 50mm standard lens; environmental elements framing the subject; focus weighted toward clothing and material texture; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0006 | Perspective/Through Doorway/Doorway-Framed Camera — wide environmental framing, 18mm ultra-wide lens with controlled distortion, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; environmental portrait distance; wide environmental framing; 18mm ultra-wide lens with controlled distortion; centred composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0007 | Perspective/Through Doorway/Doorway-Framed Camera — medium crop, 35mm environmental lens, foreground-to-background depth layering","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; conversational camera distance; medium crop; 35mm environmental lens; foreground-to-background depth layering; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0008 | Perspective/Through Doorway/Doorway-Framed Camera — head-and-shoulders crop, 40mm natural-perspective lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; camera far enough back to preserve spatial context; head-and-shoulders crop; 40mm natural-perspective lens; environmental elements framing the subject; focus weighted toward facial detail when visible; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0009 | Perspective/Through Doorway/Doorway-Framed Camera — three-quarter-length crop, 28mm moderately wide lens, environmental elements framing the subject","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; wide scene distance; three-quarter-length crop; 28mm moderately wide lens; environmental elements framing the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
"0010 | Perspective/Through Doorway/Doorway-Framed Camera — tight crop, 50mm standard lens, centred composition","camera perspective and framing instruction only; preserve every existing subject pose, action, expression, body arrangement, clothing, interaction, limb placement, prop placement, and scene event supplied by the other prompt inputs; camera positioned beyond an existing doorway or architectural opening, opening used only as foreground framing; environmental portrait distance; tight crop; 50mm standard lens; centred composition; moderate depth of field retaining nearby context; coherent camera-to-scene geometry; do not reinterpret the subject's pose or action","invented doorway blocking subject, accidental occlusion, changed scene layout, changed pose, changed action, changed expression, changed clothing, changed body arrangement, altered limb placement, invented gesture, contradictory camera angle, impossible perspective, duplicate subject, accidental extra person, warped architecture, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Perspective/Through Doorway,1,False
