name,category,prompt,negative_prompt
none,Control,,
random,Control,,
Nissan Skyline GT-R R32 — Factory Identity,Nissan performance,"a Nissan Skyline GT-R R32, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Toyota Supra A40 — Factory Identity,Toyota performance,"a Toyota Supra A40, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mazda RX-7 SA22C — Factory Identity,Mazda rotary and sports,"a Mazda RX-7 SA22C, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Honda NSX NA1 — Factory Identity,Honda performance,"a Honda NSX NA1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mitsubishi Lancer Evolution I — Factory Identity,Mitsubishi Evolution,"a Mitsubishi Lancer Evolution I, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Subaru Impreza WRX STI GC8 — Factory Identity,Subaru STI,"a Subaru Impreza WRX STI GC8, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ferrari 288 GTO — Factory Identity,Ferrari,"a Ferrari 288 GTO, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 911 930 — Factory Identity,Porsche 911,"a Porsche 911 930, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche Carrera GT — Factory Identity,Porsche sports,"a Porsche Carrera GT, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lamborghini Miura — Factory Identity,Lamborghini,"a Lamborghini Miura, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
McLaren F1 — Factory Identity,McLaren,"a McLaren F1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-AMG GT Black Series — Factory Identity,Mercedes-AMG,"a Mercedes-AMG GT Black Series, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW M1 — Factory Identity,BMW M,"a BMW M1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Audi RS2 Avant — Factory Identity,Audi RS,"a Audi RS2 Avant, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lotus Esprit — Factory Identity,Lotus,"a Lotus Esprit, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Aston Martin DB5 — Factory Identity,Aston Martin,"a Aston Martin DB5, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Koenigsegg CC8S — Factory Identity,Koenigsegg,"a Koenigsegg CC8S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Pagani Zonda C12 — Factory Identity,Pagani,"a Pagani Zonda C12, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
