index,name,prompt,negative_prompt,category,weight,favorite
1,Female/Swimwear/Straps Closures & Trim/Adjustable Straps,"Use adjustable straps as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
2,Female/Swimwear/Straps Closures & Trim/Wide Straps,"Use wide straps as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
3,Female/Swimwear/Straps Closures & Trim/Spaghetti Straps,"Use spaghetti straps as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
4,Female/Swimwear/Straps Closures & Trim/Halter Neck,"Use halter neck as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
5,Female/Swimwear/Straps Closures & Trim/Cross-back Straps,"Use cross-back straps as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
6,Female/Swimwear/Straps Closures & Trim/Racerback,"Use racerback as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
7,Female/Swimwear/Straps Closures & Trim/Strapless Finish,"Use strapless finish as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
8,Female/Swimwear/Straps Closures & Trim/Front Zip Detail,"Use front zip detail as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
9,Female/Swimwear/Straps Closures & Trim/Back Zip Detail,"Use back zip detail as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
10,Female/Swimwear/Straps Closures & Trim/Side Tie Detail,"Use side tie detail as a defining construction detail for the swimwear, with realistic garment construction and no visible logos or text.","visible brand logo, brand name, advertising text, watermark, random lettering, child, teen, underage, exposed genitals, exposed nipples, wardrobe malfunction, unintended transparency, explicit sexual pose, fetish pose, damaged garment, impossible seams, duplicated clothing, malformed hands, extra fingers, broken anatomy, low detail, blur",Clothing/Female/Swimwear/Straps Closures & Trim,1,False
